Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,1shot_claude_LLM_Clarity_Rating,1shot_claude_LLM_Completeness_Rating,1shot_claude_LLM_Consistency_Rating,1shot_claude_PSNR,1shot_claude_RMSE,1shot_claude_SAM,1shot_claude_SRE,1shot_claude_SSIM,1shot_claude_UIQ,repo_url,summary_token_count,1shot_deepseek_LLM_Clarity_Rating,1shot_deepseek_LLM_Completeness_Rating,1shot_deepseek_LLM_Consistency_Rating,1shot_deepseek_PSNR,1shot_deepseek_RMSE,1shot_deepseek_SAM,1shot_deepseek_SRE,1shot_deepseek_SSIM,1shot_deepseek_UIQ,1shot_gpt_LLM_Clarity_Rating,1shot_gpt_LLM_Completeness_Rating,1shot_gpt_LLM_Consistency_Rating,1shot_gpt_PSNR,1shot_gpt_RMSE,1shot_gpt_SAM,1shot_gpt_SRE,1shot_gpt_SSIM,1shot_gpt_UIQ,agent_claude_LLM_Clarity_Rating,agent_claude_LLM_Completeness_Rating,agent_claude_LLM_Consistency_Rating,agent_claude_PSNR,agent_claude_RMSE,agent_claude_SAM,agent_claude_SRE,agent_claude_SSIM,agent_claude_UIQ,approach_claude_LLM_Clarity_Rating,approach_claude_LLM_Completeness_Rating,approach_claude_LLM_Consistency_Rating,approach_claude_PSNR,approach_claude_RMSE,approach_claude_SAM,approach_claude_SRE,approach_claude_SSIM,approach_claude_UIQ,approach_deepseek_LLM_Clarity_Rating,approach_deepseek_LLM_Completeness_Rating,approach_deepseek_LLM_Consistency_Rating,approach_deepseek_PSNR,approach_deepseek_RMSE,approach_deepseek_SAM,approach_deepseek_SRE,approach_deepseek_SSIM,approach_deepseek_UIQ,approach_gpt_LLM_Clarity_Rating,approach_gpt_LLM_Completeness_Rating,approach_gpt_LLM_Consistency_Rating,approach_gpt_PSNR,approach_gpt_RMSE,approach_gpt_SAM,approach_gpt_SRE,approach_gpt_SSIM,approach_gpt_UIQ,fewshot_claude_LLM_Clarity_Rating,fewshot_claude_LLM_Completeness_Rating,fewshot_claude_LLM_Consistency_Rating,fewshot_claude_PSNR,fewshot_claude_RMSE,fewshot_claude_SAM,fewshot_claude_SRE,fewshot_claude_SSIM,fewshot_claude_UIQ,fewshot_deepseek_LLM_Clarity_Rating,fewshot_deepseek_LLM_Completeness_Rating,fewshot_deepseek_LLM_Consistency_Rating,fewshot_deepseek_PSNR,fewshot_deepseek_RMSE,fewshot_deepseek_SAM,fewshot_deepseek_SRE,fewshot_deepseek_SSIM,fewshot_deepseek_UIQ,fewshot_gpt_LLM_Clarity_Rating,fewshot_gpt_LLM_Completeness_Rating,fewshot_gpt_LLM_Consistency_Rating,fewshot_gpt_PSNR,fewshot_gpt_RMSE,fewshot_gpt_SAM,fewshot_gpt_SRE,fewshot_gpt_SSIM,fewshot_gpt_UIQ,zeroshot_claude_LLM_Clarity_Rating,zeroshot_claude_LLM_Completeness_Rating,zeroshot_claude_LLM_Consistency_Rating,zeroshot_claude_PSNR,zeroshot_claude_RMSE,zeroshot_claude_SAM,zeroshot_claude_SRE,zeroshot_claude_SSIM,zeroshot_claude_UIQ,zeroshot_deepseek_LLM_Clarity_Rating,zeroshot_deepseek_LLM_Completeness_Rating,zeroshot_deepseek_LLM_Consistency_Rating,zeroshot_deepseek_PSNR,zeroshot_deepseek_RMSE,zeroshot_deepseek_SAM,zeroshot_deepseek_SRE,zeroshot_deepseek_SSIM,zeroshot_deepseek_UIQ,zeroshot_gpt_LLM_Clarity_Rating,zeroshot_gpt_LLM_Completeness_Rating,zeroshot_gpt_LLM_Consistency_Rating,zeroshot_gpt_PSNR,zeroshot_gpt_RMSE,zeroshot_gpt_SAM,zeroshot_gpt_SRE,zeroshot_gpt_SSIM,zeroshot_gpt_UIQ
boxes,layered,entire+,static,yuwen123441_NVMeAutomation,y,sub-systems,general,bi,,n,y,n,high,n,n,,maintainability,yuwen123441/NVMeAutomation,rectangles,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.9498,0.0142,89.9292,57.2888,0.6506,-0.0023,https://github.com/yuwen123441/NVMeAutomation/,863,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.9428,0.0142,89.9104,57.293,0.6238,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7507,0.0145,89.9129,57.1883,0.611,0.0036,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.723,0.0146,89.9266,57.2006,0.6097,-0.0054,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.3217,0.0135,0.0,57.4889,0.6772,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.396,0.0151,0.0,56.9818,0.6585,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6845,0.0131,89.9604,57.6869,0.7516,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.4184,0.0135,89.9095,57.5656,0.6521,-0.0016,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.9689,0.0142,89.9139,57.2873,0.6554,-0.0049,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2114,0.0155,89.8256,56.9015,0.5677,0.0123,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.254,0.0137,89.9428,57.4549,0.6497,-0.0017,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0713,0.014,0.0,57.3453,0.6162,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8374,0.0144,89.9164,57.2257,0.6187,-0.0003
boxes_and_arrows,layered,entire,static,little-hands_webdbpress-2019-10-ddd,n,"layers, sub-systems",general,uni,dependencies,n,y,n,high,n,n,,maintainability,little-hands/webdbpress-2019-10-ddd,rectangles,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.1083,0.0176,84.3469,61.3837,0.7119,-0.0046,https://github.com/little-hands/webdbpress-2019-10-ddd/,852,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.9533,0.0179,84.3317,61.3061,0.7037,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.1531,0.0175,84.3553,61.406,0.7152,0.0009,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.2059,0.0174,84.3585,61.4325,0.6964,0.0055,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.74,0.0183,0.0,61.205,0.7035,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.4332,0.0212,0.0,60.6202,0.6748,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.8077,0.0204,84.2325,60.7396,0.6623,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.984,0.0178,84.3308,61.3215,0.7125,-0.0036,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.902,0.018,84.3158,61.2805,0.6994,0.0003,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.5719,0.0187,84.2852,61.1156,0.6638,-0.0017,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.8677,0.0181,84.275,61.2634,0.6888,0.0013,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.9437,0.0179,0.0,61.2985,0.6884,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.9253,0.0179,84.2686,61.2922,0.6972,-0.0041
icons_and_arrows,"client-server, publish-subscribe",entire+,dynamic,Sanperolo_The-Intelligent-Bike,y,"hardware_components, servers, technologies, clients",deployment,uni,data_flow,n,y,n,high,n,n,iot,compatibility,Sanperolo/The-Intelligent-Bike,icons,"heroku, raspberry, python, django, postgresql, angular, typescript, javascript, html, css",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.86,0.0161,88.4692,63.4123,0.7488,0.0008,https://github.com/Sanperolo/The-Intelligent-Bike/,1110,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.9243,0.016,88.4586,63.4474,0.7687,-0.0014,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,34.3271,0.0192,88.3538,62.6639,0.703,-0.0003,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9181,0.016,88.4705,63.4433,0.705,0.0006,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.4216,0.0169,0.0,63.1817,0.7677,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.5025,0.0168,0.0,63.2216,0.7735,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9589,0.0159,88.4401,63.4798,0.7823,,,,,,,,,,,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.7419,0.0163,88.4485,63.3543,0.7385,-0.0004,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.6189,0.0166,88.3718,63.2913,0.75,0.0008,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5946,0.0166,88.4597,63.2816,0.7381,-0.0,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9031,0.016,0.0,63.4275,0.7502,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.7433,0.0163,88.4644,63.3549,0.7477,0.0017
boxes_and_arrows,,entire,static,turkcellcloud_jupyter-openshift,y,"containers, sub-systems, technologies, hardware_components, clients, DBs","deployment, security",bi,data_flow,n,y,n,high,n,y,,security,turkcellcloud/jupyter-openshift,rectangles,"kubernetes, nvidia",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.0163,0.0199,87.5108,56.8251,0.5485,-0.0007,https://github.com/vOrcunus/jupyter-openshift/,1291,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,34.1696,0.0196,87.5244,56.9026,0.5846,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.9158,0.0201,87.491,56.7742,0.5383,0.0067,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,33.9913,0.02,87.5312,56.8133,0.5289,-0.0078,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.0043,0.0199,0.0,56.8198,0.5643,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,33.898,0.0202,0.0,56.7667,0.5689,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.9461,0.0201,87.4402,56.7914,0.6006,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,34.7721,0.0183,87.5377,57.205,0.5964,-0.0093,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.8872,0.0202,87.5188,56.7593,0.5518,-0.0007,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.1958,0.0195,87.5474,56.9156,0.5962,0.0109,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.0912,0.0197,87.5417,56.8621,0.5144,0.0009,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,34.182,0.0195,0.0,56.9101,0.579,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,34.1439,0.0196,87.535,56.8901,0.5916,0.0012
boxes_and_arrows,client-server,part,static,padok-team_dojo-terraform-aws-security,n,"clients, servers","security, deployment, connectivity",uni,communication,,y,n,high,n,y,,security,padok-team/dojo-terraform-aws-security,"rectangles, circles",,,,,,,,,,,https://github.com/padok-team/dojo-terraform-aws-security/,958,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.2296,0.0109,89.9106,58.3103,0.5684,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.4942,0.0106,89.902,58.4426,0.6267,0.0,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.8897,0.0101,89.9305,58.6404,0.5554,0.0044,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2556,0.0137,0.0,57.3348,0.579,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8055,0.0114,0.0,58.1811,0.6791,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7488,0.0145,89.703,57.0724,0.5218,,,,,,,,,,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.9232,0.0101,89.9312,58.6571,0.6281,-0.0022,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5691,0.0118,89.7466,57.9801,0.5472,-0.0007,,,,,,,,,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8019,0.0115,0.0,58.0961,0.5416,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.9579,0.01,89.9273,58.6744,0.6086,-0.002
UML,,part,static,EOS-Nation_dfuse-docs,n,"packages, DBs, clients",general,uni,data_flow,text,y,n,medium,n,y,,"maintainability, performance_efficiency",EOS-Nation/dfuse-docs,rectangles,"aws, google, azure",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6755,0.0131,88.7718,59.8999,0.6583,-0.0016,https://github.com/EOS-Nation/dfuse-docs/,854,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.518,0.0133,88.7423,59.8407,0.6448,0.0018,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.4554,0.0134,88.7306,59.8123,0.6496,0.0019,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4781,0.0134,88.7591,59.8115,0.6036,0.0016,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9806,0.0126,0.0,60.057,0.768,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0966,0.014,0.0,59.5994,0.703,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.5994,0.0148,87.1368,59.345,0.7091,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4928,0.0133,88.7542,59.8219,0.624,-0.0031,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7903,0.0129,88.7632,59.9744,0.6656,0.0038,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.0026,0.0141,88.7212,59.5779,0.6513,-0.0003,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7288,0.013,88.7798,59.9402,0.6515,-0.0046,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6935,0.013,0.0,59.9359,0.6561,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5457,0.0133,88.7667,59.8541,0.6251,-0.0027
boxes_and_arrows,client-server,entire+,static,rackerlabs_scantron,y,"firewalls, DBs, servers, clients","performance, deployment",uni,"communication, data_flow",n,y,y,high,n,n,,"maintainability, performance_efficiency",rackerlabs/scantron,rectangles,"django, postgresql",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,25.2287,0.0548,17.4511,34.3657,0.0382,0.0006,https://github.com/rackerlabs/scantron/,1128,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.0506,0.0559,17.445,34.2988,0.0387,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.0283,0.0561,17.4435,34.2864,0.0419,-0.0005,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,25.1672,0.0552,17.4489,34.3566,0.0412,0.0031,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,25.0035,0.0562,0.0,34.2845,0.0358,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,24.9221,0.0567,0.0,34.2303,0.0437,,,,,24.9827,0.0563,17.4374,34.2643,0.0458,,,,,,,,,,,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.548,0.021,1.4426,38.4091,0.6451,-0.0031,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.548,0.021,1.4426,38.4091,0.6451,-0.0031,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,25.0553,0.0559,17.4422,34.2924,0.0376,-0.0013,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.8809,0.057,0.0,34.222,0.0381,,,,,,,,,,
boxes_and_arrows,MVC,entire,static,elloza_Android-Developer-Certification,y,"features, functions, DBs, layers",general,bi,dependencies,text,y,n,medium,n,y,,maintainability,elloza/Android-Developer-Certification,rectangles,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7835,0.0115,89.1872,62.3309,0.7442,0.0012,https://github.com/elloza/Android-Developer-Certification/,943,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4562,0.0119,89.1618,62.1607,0.7256,-0.0009,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9931,0.0126,89.1031,61.9287,0.7069,0.0015,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.1058,0.0111,89.1652,62.4827,0.6888,0.0024,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4989,0.015,0.0,61.1749,0.6802,,,,,,,,,,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0505,0.014,88.9802,61.4532,0.6897,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4973,0.0133,89.1347,61.6943,0.6899,0.0003,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3617,0.0135,89.116,61.6039,0.6648,0.001,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2113,0.0138,89.0797,61.5344,0.6592,-0.0012,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1317,0.0124,89.1365,61.9928,0.7006,-0.0032,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1575,0.0124,0.0,61.9973,0.6872,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8538,0.0128,89.1375,61.8537,0.6936,0.0025
boxes_and_arrows,client-server,entire,"static, dynamic",SecHack365-Fans_PyJailBreak,y,"servers, clients","deployment, control_flow",uni,data_flow,n,y,n,high,n,y,,"maintainability, security",SecHack365-Fans/PyJailBreak,rectangles,"github, javascript, flask, python",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7715,0.0145,89.555,57.3138,0.5426,0.0081,https://github.com/SecHack365-Fans/PyJailBreak/,1095,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7515,0.0145,89.5224,57.3222,0.5504,-0.0014,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9523,0.0142,89.5522,57.4509,0.5713,0.0008,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4611,0.015,89.5244,57.3818,0.5376,0.0008,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.182,0.0153,0.0,56.9999,0.5434,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5108,0.0166,0.0,56.6426,0.6476,,,,,37.1804,0.0138,89.3679,57.6272,0.6406,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0432,0.0141,89.5071,57.4884,0.5443,-0.0009,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1577,0.0156,89.486,56.9485,0.4862,-0.0058,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1918,0.0155,89.4984,57.012,0.5172,-0.0033,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.412,0.0151,89.5035,57.1224,0.5421,-0.0003,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2295,0.0135,0.0,57.6364,0.6052,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8351,0.0144,89.541,57.3879,0.5756,-0.0032
icons_and_arrows,layered,entire,dynamic,madderle_Capstone-Realtime-Streaming-Analytics,y,"technologies, containers",deployment,no,data_flow,n,y,n,high,n,y,,maintainability,madderle/Capstone-Realtime-Streaming-Analytics,"circles, icons, rectangles","docker, aws, twitter, mysql, tableau, sklearn",,,,,,,,,,https://github.com/madderle/Capstone-Realtime-Streaming-Analytics/,1230,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.0397,0.0125,89.9075,61.5419,0.7584,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.1996,0.011,89.9324,62.0755,0.7879,0.0009,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.1461,0.011,89.8931,62.0276,0.6685,0.0014,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.1834,0.0123,0.0,61.5631,0.7989,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2594,0.0122,0.0,61.5773,0.776,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3293,0.0121,89.9435,61.6336,0.7937,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.5951,0.0118,89.9003,61.7611,0.7113,0.0007,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.5279,0.0118,89.8828,61.7111,0.7166,-0.0021,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.5395,0.0149,89.8786,60.922,0.6812,0.0012,,,,,,,,,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.557,0.0105,0.0,62.2433,0.7306,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.1256,0.0111,89.9298,62.0159,0.7252,0.0012
UML,,part,dynamic,IBM_IBM-Spectrum-Scale-Security-Posture,y,"containers, technologies, clients","performance, security",uni,control_flow,n,y,n,low,n,n,,"performance_efficiency, security",IBM/IBM-Spectrum-Scale-Security-Posture,rectangles,"ssh, elasticsearch, kibana",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0547,0.0157,88.7407,56.7508,0.5553,-0.0033,https://github.com/IBM/IBM-Spectrum-Scale-Security-Posture/,844,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.9791,0.0159,88.7305,56.7323,0.6207,-0.0026,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.6903,0.0164,88.7064,56.5476,0.6141,0.0045,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1888,0.0155,88.7382,56.8327,0.5434,-0.0044,,,,,,,,,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9076,0.016,0.0,56.6593,0.658,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8456,0.0144,88.7685,57.2014,0.7428,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8206,0.0162,88.7378,56.6537,0.6161,0.001,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3314,0.0153,88.735,56.9045,0.6135,0.0033,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.1873,0.0174,88.6642,56.3414,0.5605,-0.0044,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9049,0.016,88.7365,56.6753,0.5235,-0.0014,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1035,0.0156,0.0,56.779,0.5655,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0905,0.0157,88.7392,56.7664,0.5589,0.0065
icons_and_arrows,,part,dynamic,freenowtech_AndroidCI,y,"containers, technologies",deployment,uni,control_flow,n,y,n,high,n,n,,maintainability,freenowtech/AndroidCI,icons,"docker, jenkins, android",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5177,0.0119,89.7397,64.5747,0.5684,-0.0001,https://github.com/mytaxi/AndroidCI/,761,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.4004,0.012,89.6966,64.4925,0.5638,-0.0007,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.8943,0.018,89.6595,62.903,0.5449,-0.0,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6018,0.0117,89.723,64.6002,0.5488,0.0023,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.7321,0.0113,0.0,64.7835,0.5978,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.3244,0.0106,0.0,65.105,0.6127,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,39.1817,0.011,89.7607,65.1035,0.6137,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.5725,0.0118,89.7232,64.5612,0.5729,-0.0013,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7513,0.0115,89.7269,64.6979,0.5862,-0.0004,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0123,0.0126,89.706,64.2765,0.5627,0.0015,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7239,0.0116,89.7426,64.6879,0.5761,0.0007,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8971,0.0127,0.0,64.1946,0.545,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4332,0.012,89.7421,64.5285,0.5753,-0.0008
boxes_and_arrows,MVVM,part,static,linhao1998_ChatGPTClient,y,"packages, layers, DBs",general,uni,"dependencies, data_flow",n,y,n,medium,n,n,,maintainability,linhao1998/ChatGPTClient,rectangles,"sqlite, openai",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,24.9074,0.0568,10.8121,39.0215,0.0064,0.0002,https://github.com/linhao1998/ChatGPTClient/,1024,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.9552,0.0565,10.8009,39.0463,0.0059,,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,24.9485,0.0566,10.8106,39.0431,0.0065,-0.0001,Partially Meets Expectations,Meets Expectations,Partially Meets Expectations,24.89,0.057,10.8083,39.0136,0.0054,-0.0003,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,25.173,0.0551,0.0,39.1668,0.007,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.9566,0.0565,0.0,39.0504,0.0071,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.9225,0.0567,10.7843,39.0297,0.0075,,,,,,,,,,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.0845,0.0198,2.8972,43.732,0.5821,0.0002,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,24.8627,0.0571,10.8136,38.9995,0.0066,0.0002,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,25.1595,0.0552,10.8126,39.1502,0.0063,0.0003,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,24.8909,0.0569,0.0,39.0427,0.0055,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,24.7857,0.0576,10.8128,38.961,0.0061,0.0003
