Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,repo_url,summary_token_count,zeroShot_gpt_LLM_Clarity_Rating,zeroShot_gpt_LLM_Completeness_Rating,zeroShot_gpt_LLM_Consistency_Rating,zeroShot_gpt_PSNR,zeroShot_gpt_RMSE,zeroShot_gpt_SAM,zeroShot_gpt_SRE,zeroShot_gpt_SSIM,zeroShot_gpt_UIQ
boxes_and_arrows,microservices,entire,"static, dynamic",hotshot07_distributed_systems,y,"services, servers, DBs, clients",deployment,uni,"control_flow, data_flow",n,y,n,medium,y,y,,"maintainability, flexibility, interaction_capability",hotshot07/distributed_systems,"rectangles, cylinders, icons","kubernetes, react, nginx, flask",https://github.com/hotshot07/distributed_systems/,928,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.5950,0.0118,89.8745,60.2077,0.6457,-0.0025
boxes_and_arrows,layered,entire,static,fdrennan_ndexr-platform,y,sub-systems,general,bi,dependencies,n,y,n,high,n,y,,maintainability,fdrennan/ndexr-platform,"rectangles, squares, icons",NA,https://github.com/fdrennan/ndexr-platform/,1036,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6132,0.0588,7.3603,26.5037,0.0106,-0.0007
boxes,client-server,entire,"static, dynamic",wso2_chef-apim,y,"servers, APIs, sub-systems, data",connectivity,uni,function_calls,n,y,n,medium,n,y,,"functional_suitability, maintainability, reliability",wso2/chef-apim,"rectangles, squares, icons",NA,https://github.com/wso2/chef-apim/,1005,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.7224,0.0231,89.7709,55.7858,0.5201,0.0010
boxes_and_arrows,MVC,part,static,ra1028_VueFlux,y,classes,general,uni,dependencies,n,y,n,low,n,y,,maintainability,ra1028/VueFlux,rectangles,NA,https://github.com/ra1028/VueFlux/,976,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.4236,0.0601,6.6471,24.8340,0.0258,-0.0008
boxes_and_arrows,client-server,entire,static,btcpayserver_btcpayserver-doc,y,"packages, containers, functions, devices",deployment,uni,dependencies,parameters,y,n,low,y,n,,maintainability,btcpayserver/btcpayserver-doc,rectangles,docker,https://github.com/btcpayserver/btcpayserver-doc/,1111,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.6913,0.0292,81.5148,54.9740,0.5690,-0.0007
boxes_and_arrows,NA,part,static,ingeniala_heybluekata,y,quality-attributes,general,"uni, no",dependencies,n,y,n,medium,n,y,quality attributes,"security, maintainability, flexibility, performance_efficiency, interaction_capability",ingeniala/heybluekata,rectangles,NA,https://github.com/ingeniala/heybluekata/,1200,,,,NA,NA,NA,NA,NA,NA
boxes_and_arrows,"layered, SOA",entire+,static,WeBankFinTech_DeFiBus,y,"DBs, clients, services, layers","deployment, connectivity","uni, bi",data_flow,text,y,n,high,n,y,,"maintainability, flexibility, performance_efficiency",WeBankFinTech/DeFiBus,"rectangles, cylinders, ellipses, squares",NA,https://github.com/WeBankFinTech/DeFiBus/,1198,,,,NA,NA,NA,NA,NA,NA
icons_and_arrows,event-driven,entire,"static, dynamic",rubenbupe_proyectos-data,y,technologies,"deployment, connectivity",uni,communication,URLs,y,y,high,n,y,,"maintainability, security",rubenbupe/proyectos-data,"rectangles, icons","mongodb, rabbitmq, grafana, kubernetes, prometheus",https://github.com/rubenbupe/proyectos-data/,1119,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,24.8468,0.0572,12.6579,33.7174,0.0355,0.0002
"icons_and_arrows, boxes",client-server,entire,static,open-risk_Open_Risk_API,y,servers,deployment,"uni, bi","data_flow, communication",n,y,n,high,n,y,,maintainability,open-risk/Open_Risk_API,"rectangles, icons",NA,https://github.com/open-risk/Open_Risk_API/,903,,,,NA,NA,NA,NA,NA,NA
boxes_and_arrows,"event-driven, MVC",entire,"static, dynamic",redbadger_crux,y,"APIs, clients, sub-systems","connectivity, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",redbadger/crux,"rectangles, cylinders, ellipses",NA,https://github.com/redbadger/crux/,1704,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA
boxes_and_arrows,"client-server, microservices",entire,static,sup2is_e-commerce-project,y,"DBs, services, servers, APIs","deployment, connectivity","uni, no",communication,n,y,n,high,n,n,,maintainability,sup2is/e-commerce-project,"circles, rectangles, cylinders","redis, nginx, eureka, zipkin",https://github.com/sup2is/e-commerce-project/,1226,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.6192,0.0166,89.6874,59.2736,0.5343,-0.0001
icons_and_arrows,client-server,entire,dynamic,AhmedAbdelGawadFarag_Shams-Personal-Assistant,y,"APIs, servers, clients",data_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,AhmedAbdelGawadFarag/Shams-Personal-Assistant,icons,NA,https://github.com/AhmedAbdelGawadFarag/Shams-Personal-Assistant/,1165,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6403,0.0117,89.9454,59.6189,0.6719,-0.0010
boxes_and_arrows,smart-contracts,part,dynamic,Nishu0_anime_nft_marketplace,y,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,blockchain,"functional_suitability, interaction_capability",Nishu0/anime_nft_marketplace,"rectangles, diamonds",NA,https://github.com/Nishu0/anime_nft_marketplace/,888,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.7781,0.0115,89.9362,58.6987,0.6012,0.0050
icons_and_arrows,client-server,entire+,"static, dynamic",ertis-research_lwm2m-blockchain,y,"clients, servers, APIs, network_components","connectivity, control_flow","uni, bi","control_flow, communication",text,y,n,high,n,n,blockchain,"security, functional_suitability",ertis-research/lwm2m-blockchain,"circles, icons",NA,https://github.com/ertis-research/lwm2m-blockchain/,1085,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.6845,0.0164,87.6953,60.6293,0.7055,-0.0002
boxes_and_arrows,"microservices, event-driven",entire,dynamic,geovanegodoi_MicroServicesPOC,y,"DBs, services, bus, clients, APIs","deployment, control_flow","uni, bi, bus","control_flow, data_flow",n,y,n,medium,n,y,,"maintainability, interaction_capability",geovanegodoi/MicroServicesPOC,"rectangles, cylinders, hexagons, icons, squares","docker, rabbitmq, mongodb",https://github.com/geovanegodoi/MicroServicesPOC/,894,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.6406,0.0165,89.2838,59.5511,0.6173,0.0003
boxes_and_arrows,NA,entire+,static,gpsnmeajp_VirtualMotionTracker,y,"clients, sub-systems, technologies","deployment, connectivity","uni, bi",communication,n,y,y,high,n,y,,maintainability,gpsnmeajp/VirtualMotionTracker,rectangles,"openvr, c++, c#",https://github.com/gpsnmeajp/VirtualMotionTracker/,1120,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.4992,0.0266,89.8310,54.8857,0.6004,0.0052
boxes,layered,entire,static,intel_edge-insights-vision,y,"hardware_components, technologies, layers",general,NA,NA,n,n,n,high,n,y,,maintainability,intel/edge-insights-vision,"rectangles, squares","docker, jupyter, intel, linux, windows",https://github.com/intel/edge-insights-vision/,1070,,,,NA,NA,NA,NA,NA,NA
boxes,event-driven,part,static,mendhak_gpslogger,y,"bus, services, clients",connectivity,"bus, uni, bi",communication,n,n,n,medium,n,y,,maintainability,mendhak/gpslogger,"rectangles, icons",NA,https://github.com/mendhak/gpslogger/,1208,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.8758,0.0180,84.8461,54.9461,0.5333,0.0003
boxes_and_arrows,NA,entire+,dynamic,mrubash1_trainspotting,y,"hardware_components, sub-systems, technologies",control_flow,uni,control_flow,n,y,n,high,n,y,IOT,functional_suitability,mrubash1/trainspotting,"rectangles, squares, icons","jupyter, tensorflow",https://github.com/mrubash1/trainspotting/,799,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.8239,0.0228,83.0180,58.4546,0.6493,0.0017
icons_and_arrows,client-server,entire,dynamic,JessNah_BeeGreen,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,y,,"functional_suitability, interaction_capability",JessNah/BeeGreen,"circles, icons, rectangles","react, typescript, nodejs, ibm",https://github.com/JessNah/BeeGreen/,1004,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.6019,0.0417,49.5929,53.6255,0.4224,0.0005
boxes_and_arrows,NA,entire,static,JuliaParallel_DagScheduler.jl,n,sub-systems,"data_flow, performance",bi,data_flow,n,y,n,high,n,y,,"flexibility, performance_efficiency",JuliaParallel/DagScheduler.jl,"rectangles, cylinders",NA,https://github.com/JuliaParallel/DagScheduler.jl/,767,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3301,0.0121,89.8327,58.9680,0.5860,0.0052
boxes_and_arrows,client-server,entire,static,FPriv_factom-harmony-connect-python-sdk,y,"packages, classes, APIs, sub-systems",general,bi,dependencies,n,y,n,medium,n,y,,maintainability,FPriv/factom-harmony-connect-python-sdk,rectangles,NA,https://github.com/FPriv/factom-harmony-connect-python-sdk/,793,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.2644,0.0109,89.9366,60.8238,0.6379,-0.0058
icons_and_arrows,NA,entire,dynamic,yoshixmk_remarks,y,technologies,"deployment, control_flow",uni,"control_flow, data_flow",n,y,n,high,n,n,,"functional_suitability, maintainability",yoshixmk/remarks,icons,"google, html, github, fauna, deploy",https://github.com/yoshixmk/remarks/,815,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3366,0.0152,88.9732,58.2920,0.6651,-0.0013
"icons_and_arrows, boxes",client-server,part,dynamic,miztiik_aws-real-time-use-cases,y,technologies,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,functional_suitability,miztiik/aws-real-time-use-cases,"rectangles, icons",aws,https://github.com/miztiik/aws-real-time-use-cases/,640,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.2853,0.0544,17.9737,40.1461,0.1186,0.0003
icons_and_arrows,NA,part,dynamic,gapfish_deployer,n,"DBs, technologies",deployment,bi,control_flow,n,y,n,high,n,n,manual sketch,maintainability,gapfish/deployer,icons,NA,https://github.com/gapfish/deployer/,1151,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.2533,0.0194,89.7690,53.2172,0.3945,-0.0038
boxes,rest,entire,static,vinijmoura_Azure-DevOps,y,technologies,general,NA,NA,n,n,n,high,n,n,,maintainability,vinijmoura/Azure-DevOps,icons,azure,https://github.com/vinijmoura/Azure-DevOps/,1211,Meets Expectations,Meets Expectations,Meets Expectations,34.6352,0.0185,89.8236,56.0033,0.5825,-0.0037
boxes_and_arrows,SOA,entire,static,OpenRoberta_robertalab-ev3dev,y,"packages, clients",connectivity,bi,communication,n,y,n,high,n,y,IOT,maintainability,OpenRoberta/robertalab-ev3dev,rectangles,NA,https://github.com/OpenRoberta/robertalab-ev3dev/,900,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.8308,0.0256,82.1146,50.6687,0.4936,-0.0021
boxes_and_arrows,NA,part,static,ibm-hyperknowledge_hklib,y,"DBs, clients, packages",general,uni,dependencies,n,y,n,high,n,n,,maintainability,ibm-hyperknowledge/hklib,rectangles,NA,https://github.com/ibm-hyperknowledge/hklib/,1092,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.4839,0.0212,81.2245,57.0185,0.5821,0.0015
icons_and_arrows,client-server,entire,dynamic,IBM_cognos-analytics-to-visualize-business-data,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,n,,functional_suitability,IBM/cognos-analytics-to-visualize-business-data,"circles, icons",cognos,https://github.com/IBM/cognos-analytics-to-visualize-business-data/,922,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.9249,0.0090,89.9607,65.9741,0.8795,-0.0000
boxes_and_arrows,client-server,entire,"static, dynamic",beston123_Tarzan,y,"sub-systems, servers, technologies, DBs",control_flow,uni,control_flow,n,y,n,high,n,y,,functional_suitability,beston123/Tarzan,"rectangles, icons","mysql, rocketmq",https://github.com/beston123/tevent/,1123,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4792,0.0134,89.3798,62.5169,0.7540,0.0003
boxes_and_arrows,NA,entire,"static, dynamic",serverdevcamp_camp4_quadcore,y,"APIs, DBs, technologies",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,serverdevcamp/camp4_quadcore,"circles, icons, rectangles","twitter, apache, cassandra",https://github.com/serverdevcamp/camp4_quadcore/,1199,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5630,0.0167,89.8738,58.2288,0.5883,-0.0029
boxes_and_arrows,"rest, MVC",entire,static,heli-os_member-invitation-java-springboot,n,"packages, DBs, services",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,heli-os/member-invitation-java-springboot,"rectangles, squares","aws, redis",https://github.com/heli-os/member-invitation-java-springboot/,1038,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,39.4932,0.0106,89.9078,62.9922,0.6963,-0.0009
boxes_and_arrows,"microservices, layered",entire,static,itays123_partydeck,y,"DBs, services, clients",general,uni,dependencies,n,y,n,high,n,y,,maintainability,itays123/partydeck,"rectangles, squares",mongodb,https://github.com/itays123/partydeck/,1069,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.0577,0.0280,89.8247,58.7569,0.6645,0.0013
boxes_and_arrows,"client-server, publish-subscribe",entire+,static,liyangbing_rocketmq-http-gateway,y,"servers, technologies, sub-systems",connectivity,uni,communication,parameters,y,n,medium,n,y,,maintainability,liyangbing/rocketmq-http-gateway,rectangles,"rocketmq, apache",https://github.com/liyangbing/rocketmq-http-gateway/,980,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.8683,0.0143,89.9181,61.4790,0.7533,-0.0002
boxes,"layered, SOA",entire,static,zeromicro_zero-doc,y,"services, DBs, APIs, features",general,uni,communication,n,y,n,medium,n,y,,maintainability,zeromicro/zero-doc,rectangles,"mysql, postgresql, mongodb, clickhouse, redis, kubernetes, etcd, consul, nacos, polarismesh",https://github.com/zeromicro/zero-doc/,1435,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.1783,0.0174,89.8330,63.4829,0.7521,-0.0015
icons_and_arrows,NA,entire,static,chsakell_planet-scale-azure,y,"DBs, servers","deployment, connectivity",no,communication,n,y,n,high,n,n,,flexibility,chsakell/planet-scale-azure,icons,azure,https://github.com/chsakell/planet-scale-azure/,981,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.0727,0.0497,87.8346,39.3372,0.2093,0.0010
boxes_and_arrows,pipes-and-filters,entire,dynamic,GoogleCloudPlatform_analytics-componentized-patterns,y,steps,control_flow,uni,control_flow,text,y,n,high,n,n,,functional_suitability,GoogleCloudPlatform/analytics-componentized-patterns,"rectangles, icons",google,https://github.com/GoogleCloudPlatform/analytics-componentized-patterns/,1575,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8757,0.0143,89.3904,62.0277,0.6720,-0.0009
boxes,layered,entire+,static,exmgr_GatewayXM,y,"layers, services, sub-systems, technologies",general,NA,NA,snapshots,n,n,medium,n,y,IOT,maintainability,exmgr/GatewayXM,rectangles,"java, eclipse",https://github.com/exmgr/GatewayXM/,796,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.8149,0.0512,31.4637,42.9764,0.1072,0.0011
icons_and_arrows,microservices,entire,dynamic,oovk_dataengg-covid19-aws,y,"technologies, DBs, services",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,oovk/dataengg-covid19-aws,"rectangles, squares, icons",aws,https://github.com/oovk/dataengg-covid19-aws/,787,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6161,0.0132,89.8276,59.5144,0.5453,-0.0013
UML,client-server,entire,static,ndsev_zswag,y,"packages, classes",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,ndsev/zswag,rectangles,NA,https://github.com/ndsev/zswag/,925,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,28.8630,0.0360,61.5178,50.5529,0.3224,-0.0009
icons_and_arrows,smart-contracts,entire,static,shawntabrizi_Ethereum-Twitter-Bounty,y,"contracts, technologies, clients",general,"uni, bi",communication,n,y,n,medium,n,n,blockchain,maintainability,shawntabrizi/Ethereum-Twitter-Bounty,icons,"ethereum, oraclize, twitter, web3js",https://github.com/shawntabrizi/Ethereum-Twitter-Bounty/,1018,,,,NA,NA,NA,NA,NA,NA
"boxes, icons_and_arrows",client-server,part,static,badr42_oke_A1,y,"network_components, containers","deployment, connectivity, performance",uni,communication,n,y,n,medium,n,y,,"flexibility, performance_efficiency, reliability",badr42/oke_A1,"rectangles, icons","kubernetes, oracle",https://github.com/badr42/oke_A1/,906,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0388,0.0112,89.7665,59.5922,0.5733,-0.0033
boxes_and_arrows,client-server,entire,static,ev2900_OpenSearch_Dashboard_Nginx_Proxy,y,"servers, services","deployment, connectivity",bi,communication,URLs,y,n,high,n,y,,security,ev2900/OpenSearch_Dashboard_Nginx_Proxy,"rectangles, icons","nginx, aws, opensearch",https://github.com/ev2900/OpenSearch_Dashboard_Nginx_Proxy/,578,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.4866,0.0119,89.5825,60.1651,0.6988,0.0008
boxes_and_arrows,SOA,entire+,static,AndreasM009_AadApiGatekeeper,y,"containers, APIs, services, technologies",deployment,"uni, no",communication,n,y,y,high,n,y,,"flexibility, security",AndreasM009/AadApiGatekeeper,"ellipses, icons, rectangles","azure, kubernetes",https://github.com/AndreasM009/AadApiGatekeeper/,1248,,,,NA,NA,NA,NA,NA,NA
boxes_and_arrows,"MVI, layered",entire,"static, dynamic",kaleidot725_Draft,y,"DBs, sub-systems",general,uni,"control_flow, data_flow",n,y,n,high,n,y,,maintainability,kaleidot725/Draft,"rectangles, icons",NA,https://github.com/kaleidot725/Draft/,862,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5046,0.0119,88.6137,61.8552,0.4159,0.0000
icons_and_arrows,SOA,entire+,static,Azure_AzureStack-QuickStart-Templates,y,"network_components, DBs, APIs, functions","deployment, connectivity, performance, security",uni,"data_flow, API_calls, communication",n,y,n,high,n,y,,"flexibility, security, maintainability",Azure/AzureStack-QuickStart-Templates,"rectangles, icons",azure,https://github.com/Azure/AzureStack-QuickStart-Templates/,1449,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7739,0.0129,89.8712,58.7581,0.5430,-0.0032
boxes_and_arrows,NA,entire,dynamic,Fintan-contents_case-studies,y,steps,control_flow,uni,control_flow,n,y,n,high,n,n,,"interaction_capability, functional_suitability",Fintan-contents/case-studies,"rectangles, icons",NA,https://github.com/Fintan-contents/case-studies/,753,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9284,0.0127,89.1042,59.0844,0.6851,0.0062
"icons_and_arrows, boxes",microservices,entire,dynamic,spikecodes_stotra,y,"DBs, technologies",deployment,"uni, bi",communication,n,y,n,medium,n,y,,maintainability,spikecodes/stotra,"rectangles, squares, icons","react, aws, mongodb, cloudflare",https://github.com/spikecodes/stotra/,1275,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5902,0.0118,89.7220,62.8986,0.7746,0.0001
boxes_and_arrows,client-server,entire,static,blentle_hikarikeeper,y,"servers, DBs","deployment, connectivity",uni,communication,n,y,n,high,n,y,,flexibility,blentle/hikarikeeper,"rectangles, cylinders",rocksdb,https://github.com/blentle/hikarikeeper/,1466,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.9359,0.0357,68.4959,54.2398,0.4910,0.0004
boxes_and_arrows,event-driven,entire,dynamic,tarhses_esp-alarm-clock,n,packages,control_flow,uni,control_flow,text,y,n,medium,n,n,,"functional_suitability, reliability",tarhses/esp-alarm-clock,"rectangles, circles",NA,https://github.com/tarhses/esp-alarm-clock/,950,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3268,0.0153,87.4381,58.5338,0.5798,-0.0046
boxes_and_arrows,SOA,part,dynamic,balajich_resilience4j-helloworld,n,"services, clients, functions",control_flow,uni,communication,n,y,n,medium,n,y,,"functional_suitability, reliability",balajich/resilience4j-helloworld,"ellipses, squares",NA,https://github.com/balajich/resilience4j-helloworld/,1113,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6876,0.0146,87.8780,59.9643,0.5850,0.0026
boxes_and_arrows,"hexagonal, layered",entire,static,clemgbld_blog_back_office,y,ports,connectivity,uni,communication,n,y,y,medium,n,y,,maintainability,clemgbld/blog_back_office,"rectangles, hexagons",NA,https://github.com/clemgbld/blog_back_office/,986,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.6368,0.0104,89.8692,62.2239,0.7294,0.0070
boxes_and_arrows,layered,entire,"static, dynamic",CMU-RERC-APT_tiramisu3-pr,y,"DBs, sub-systems, classes",control_flow,"uni, bi",communication,n,y,n,medium,y,n,,"functional_suitability, maintainability",CMU-RERC-APT/tiramisu3-pr,"rectangles, cylinders",NA,https://github.com/CMU-RERC-APT/tiramisu3-pr/,1630,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.2355,0.0547,18.8929,44.1986,0.1551,0.0002
boxes_and_arrows,layered,entire,dynamic,dylanvanh_MunchOut,y,"classes, layers, APIs, DBs",data_flow,uni,communication,n,y,n,medium,n,y,,maintainability,dylanvanh/MunchOut,"rectangles, icons",mysql,https://github.com/dylanvanh/MunchOut/,949,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1412,0.0124,89.0300,65.0572,0.7791,-0.0007
boxes,clean,entire,static,alextanhongpin_node-rest,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,alextanhongpin/node-rest,circles,NA,https://github.com/alextanhongpin/node-rest/,865,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.7109,0.0231,89.8576,55.4545,0.6415,0.0035
icons_and_arrows,client-server,part,dynamic,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,"circles, icons","watson, jupyter, tensorflow",https://github.com/IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras/,565,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.7052,0.0582,7.6239,27.7178,0.0206,0.0008
icons_and_arrows,NA,part,dynamic,microsoft_covid19-BackToWork,y,"technologies, layers",control_flow,uni,control_flow,text,y,n,high,n,y,,"functional_suitability, maintainability",microsoft/covid19-BackToWork,icons,"azure, microsoft, twilio, powerbi",https://github.com/microsoft/covid19-BackToWork/,1004,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0124,0.0141,89.3077,62.0877,0.7360,-0.0022
boxes_and_arrows,rest,part,"static, dynamic",florianhoehn_sf-apex-rest-api,y,classes,general,no,inheritance,text,y,n,low,y,n,manual sketch,maintainability,florianhoehn/sf-apex-rest-api,rectangles,NA,https://github.com/florianhoehn/sf-apex-rest-api/,1154,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.8663,0.0161,89.8485,61.2975,0.7153,-0.0007
boxes_and_arrows,client-server,part,dynamic,boot2podman_machine,y,servers,connectivity,uni,communication,n,y,n,high,n,y,,maintainability,boot2podman/machine,"ellipses, squares",NA,https://github.com/boot2podman/machine/,1120,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9648,0.0159,88.9068,53.2910,0.4661,-0.0040
boxes,layered,entire,static,Xsidelight_flutter_interview_questions,y,"layers, packages",general,NA,NA,n,n,n,medium,n,y,,maintainability,Xsidelight/flutter_interview_questions,rectangles,dart,https://github.com/Xsidelight/flutter_interview_questions/,695,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.4875,0.0335,73.3654,49.8617,0.2775,0.0001
boxes,layered,entire,static,aliyun_packagist-mirror,y,"layers, coroutines",general,NA,NA,n,n,n,medium,n,y,,maintainability,aliyun/packagist-mirror,"rectangles, icons","github, composer",https://github.com/aliyun/packagist-mirror/,1112,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.3580,0.0540,22.6738,45.3438,0.1481,-0.0008
boxes_and_arrows,event-driven,entire,dynamic,laziestcoder_Budget_App_JS,y,"functions, layers",control_flow,uni,control_flow,n,y,n,low,n,y,,"functional_suitability, maintainability",laziestcoder/Budget_App_JS,rectangles,NA,https://github.com/laziestcoder/Budget_App_JS/,657,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9277,0.0142,89.9373,60.5550,0.7124,0.0021
"boxes, icons_and_arrows",NA,entire+,"static, dynamic",IBM_spectrum-protect-sppmon,y,"APIs, technologies, VMs","connectivity, control_flow",uni,"control_flow, function_calls",n,y,y,medium,n,y,,"interaction_capability, functional_suitability",IBM/spectrum-protect-sppmon,"rectangles, icons",ibm,https://github.com/IBM/sppmon/,1548,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5410,0.0149,89.0670,58.2349,0.5881,0.0039
boxes_and_arrows,rest,entire,dynamic,input-output-hk_marlowe-starter-kit,y,"packages, DBs","scheduling, control_flow",uni,function_calls,text,y,y,medium,n,y,,interaction_capability,input-output-hk/marlowe-starter-kit,rectangles,postgresql,https://github.com/input-output-hk/marlowe-starter-kit/,1163,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7389,0.0146,88.4936,58.2161,0.5520,0.0013
boxes_and_arrows,NA,entire+,"static, dynamic",eqbal_CarND_Capstone_CarX,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,eqbal/CarND_Capstone_CarX,rectangles,ros,https://github.com/eqbal/CarND_Capstone_CarX/,825,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0306,0.0141,88.8728,60.6238,0.7182,-0.0004
icons_and_arrows,client-server,part,dynamic,pacmacro_pm-server-spring,y,"servers, clients","deployment, control_flow",uni,data_flow,n,y,n,high,n,n,,flexibility,pacmacro/pm-server-spring,"icons, 3d",NA,https://github.com/pacmacro/pm-server-spring/,1076,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2533,0.0137,87.6495,58.2052,0.6869,-0.0002
icons_and_arrows,"pipes-and-filters, SOA",entire+,dynamic,ruoccofabrizio_azure-open-ai-embeddings-qna,y,data,"data_flow, control_flow",uni,data_flow,text,y,n,medium,n,n,,functional_suitability,ruoccofabrizio/azure-open-ai-embeddings-qna,icons,azure,https://github.com/ruoccofabrizio/azure-open-ai-embeddings-qna/,868,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2586,0.0154,87.8744,59.4434,0.6994,0.0013
