Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,approach_claude_LLM_Clarity_Rating,approach_claude_LLM_Completeness_Rating,approach_claude_LLM_Consistency_Rating,approach_claude_PSNR,approach_claude_RMSE,approach_claude_SAM,approach_claude_SRE,approach_claude_SSIM,approach_claude_UIQ,repo_url,summary_token_count
boxes,client-server,entire,"static, dynamic",wso2_chef-apim,y,"servers, APIs, sub-systems, data",connectivity,uni,function_calls,n,y,n,medium,n,y,,"functional_suitability, maintainability, reliability",wso2/chef-apim,"rectangles, squares, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.2853,0.0217,0.0000,56.0583,0.6013,,https://github.com/wso2/chef-apim/,1005
boxes_and_arrows,MVC,part,static,ra1028_VueFlux,y,classes,general,uni,dependencies,n,y,n,low,n,y,,maintainability,ra1028/VueFlux,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.5225,0.0594,0.0000,24.8974,0.0231,,https://github.com/ra1028/VueFlux/,976
boxes_and_arrows,client-server,entire,static,btcpayserver_btcpayserver-doc,y,"packages, containers, functions, devices",deployment,uni,dependencies,parameters,y,n,low,y,n,,maintainability,btcpayserver/btcpayserver-doc,rectangles,docker,,,,NA,NA,NA,NA,NA,NA,https://github.com/btcpayserver/btcpayserver-doc/,1111
boxes_and_arrows,NA,part,static,ingeniala_heybluekata,y,quality-attributes,general,"uni, no",dependencies,n,y,n,medium,n,y,quality attributes,"security, maintainability, flexibility, performance_efficiency, interaction_capability",ingeniala/heybluekata,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7693,0.0145,0.0000,60.2409,0.6194,,https://github.com/ingeniala/heybluekata/,1200
boxes_and_arrows,"layered, SOA",entire+,static,WeBankFinTech_DeFiBus,y,"DBs, clients, services, layers","deployment, connectivity","uni, bi",data_flow,text,y,n,high,n,y,,"maintainability, flexibility, performance_efficiency",WeBankFinTech/DeFiBus,"rectangles, cylinders, ellipses, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4310,0.0150,0.0000,58.0515,0.5454,,https://github.com/WeBankFinTech/DeFiBus/,1198
icons_and_arrows,event-driven,entire,"static, dynamic",rubenbupe_proyectos-data,y,technologies,"deployment, connectivity",uni,communication,URLs,y,y,high,n,y,,"maintainability, security",rubenbupe/proyectos-data,"rectangles, icons","mongodb, rabbitmq, grafana, kubernetes, prometheus",,,,NA,NA,NA,NA,NA,NA,https://github.com/rubenbupe/proyectos-data/,1119
"icons_and_arrows, boxes",client-server,entire,static,open-risk_Open_Risk_API,y,servers,deployment,"uni, bi","data_flow, communication",n,y,n,high,n,y,,maintainability,open-risk/Open_Risk_API,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9781,0.0126,0.0000,58.5569,0.7151,,https://github.com/open-risk/Open_Risk_API/,903
boxes_and_arrows,"event-driven, MVC",entire,"static, dynamic",redbadger_crux,y,"APIs, clients, sub-systems","connectivity, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",redbadger/crux,"rectangles, cylinders, ellipses",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.4581,0.0327,0.0000,56.2575,0.5382,,https://github.com/redbadger/crux/,1704
boxes_and_arrows,"client-server, microservices",entire,static,sup2is_e-commerce-project,y,"DBs, services, servers, APIs","deployment, connectivity","uni, no",communication,n,y,n,high,n,n,,maintainability,sup2is/e-commerce-project,"circles, rectangles, cylinders","redis, nginx, eureka, zipkin",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.7099,0.0157,0.0000,59.3447,0.6011,,https://github.com/sup2is/e-commerce-project/,1226
icons_and_arrows,client-server,entire,dynamic,AhmedAbdelGawadFarag_Shams-Personal-Assistant,y,"APIs, servers, clients",data_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,AhmedAbdelGawadFarag/Shams-Personal-Assistant,icons,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2740,0.0122,0.0000,59.4398,0.7982,,https://github.com/AhmedAbdelGawadFarag/Shams-Personal-Assistant/,1165
boxes_and_arrows,smart-contracts,part,dynamic,Nishu0_anime_nft_marketplace,y,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,blockchain,"functional_suitability, interaction_capability",Nishu0/anime_nft_marketplace,"rectangles, diamonds",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7767,0.0144,0.0000,57.6700,0.5668,,https://github.com/Nishu0/anime_nft_marketplace/,888
icons_and_arrows,client-server,entire+,"static, dynamic",ertis-research_lwm2m-blockchain,y,"clients, servers, APIs, network_components","connectivity, control_flow","uni, bi","control_flow, communication",text,y,n,high,n,n,blockchain,"security, functional_suitability",ertis-research/lwm2m-blockchain,"circles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3021,0.0171,0.0000,60.4707,0.7489,,https://github.com/ertis-research/lwm2m-blockchain/,1085
boxes_and_arrows,"microservices, event-driven",entire,dynamic,geovanegodoi_MicroServicesPOC,y,"DBs, services, bus, clients, APIs","deployment, control_flow","uni, bi, bus","control_flow, data_flow",n,y,n,medium,n,y,,"maintainability, interaction_capability",geovanegodoi/MicroServicesPOC,"rectangles, cylinders, hexagons, icons, squares","docker, rabbitmq, mongodb",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.8526,0.0160,0.0000,59.6591,0.6614,,https://github.com/geovanegodoi/MicroServicesPOC/,894
boxes_and_arrows,NA,entire+,static,gpsnmeajp_VirtualMotionTracker,y,"clients, sub-systems, technologies","deployment, connectivity","uni, bi",communication,n,y,y,high,n,y,,maintainability,gpsnmeajp/VirtualMotionTracker,rectangles,"openvr, c++, c#",,,,NA,NA,NA,NA,NA,NA,https://github.com/gpsnmeajp/VirtualMotionTracker/,1120
boxes,layered,entire,static,intel_edge-insights-vision,y,"hardware_components, technologies, layers",general,NA,NA,n,n,n,high,n,y,,maintainability,intel/edge-insights-vision,"rectangles, squares","docker, jupyter, intel, linux, windows",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.5370,0.0414,0.0000,47.7254,0.3636,,https://github.com/intel/edge-insights-vision/,1070
boxes,event-driven,part,static,mendhak_gpslogger,y,"bus, services, clients",connectivity,"bus, uni, bi",communication,n,n,n,medium,n,y,,maintainability,mendhak/gpslogger,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.6104,0.0186,0.0000,54.8085,0.6265,,https://github.com/mendhak/gpslogger/,1208
boxes_and_arrows,NA,entire+,dynamic,mrubash1_trainspotting,y,"hardware_components, sub-systems, technologies",control_flow,uni,control_flow,n,y,n,high,n,y,IOT,functional_suitability,mrubash1/trainspotting,"rectangles, squares, icons","jupyter, tensorflow",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.7185,0.0231,0.0000,58.3897,0.6091,,https://github.com/mrubash1/trainspotting/,799
icons_and_arrows,client-server,entire,dynamic,JessNah_BeeGreen,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,y,,"functional_suitability, interaction_capability",JessNah/BeeGreen,"circles, icons, rectangles","react, typescript, nodejs, ibm",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,27.4647,0.0423,0.0000,53.5459,0.4483,,https://github.com/JessNah/BeeGreen/,1004
boxes_and_arrows,NA,entire,static,JuliaParallel_DagScheduler.jl,n,sub-systems,"data_flow, performance",bi,data_flow,n,y,n,high,n,y,,"flexibility, performance_efficiency",JuliaParallel/DagScheduler.jl,"rectangles, cylinders",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8508,0.0144,0.0000,58.2281,0.5892,,https://github.com/JuliaParallel/DagScheduler.jl/,767
boxes_and_arrows,client-server,entire,static,FPriv_factom-harmony-connect-python-sdk,y,"packages, classes, APIs, sub-systems",general,bi,dependencies,n,y,n,medium,n,y,,maintainability,FPriv/factom-harmony-connect-python-sdk,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7745,0.0128,0.0000,59.8561,0.5976,,https://github.com/FPriv/factom-harmony-connect-python-sdk/,793
icons_and_arrows,NA,entire,dynamic,yoshixmk_remarks,y,technologies,"deployment, control_flow",uni,"control_flow, data_flow",n,y,n,high,n,n,,"functional_suitability, maintainability",yoshixmk/remarks,icons,"google, html, github, fauna, deploy",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.6090,0.0148,0.0000,58.4293,0.7685,,https://github.com/yoshixmk/remarks/,815
"icons_and_arrows, boxes",client-server,part,dynamic,miztiik_aws-real-time-use-cases,y,technologies,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,functional_suitability,miztiik/aws-real-time-use-cases,"rectangles, icons",aws,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.5070,0.0530,0.0000,40.2550,0.1285,,https://github.com/miztiik/aws-real-time-use-cases/,640
icons_and_arrows,NA,part,dynamic,gapfish_deployer,n,"DBs, technologies",deployment,bi,control_flow,n,y,n,high,n,n,manual sketch,maintainability,gapfish/deployer,icons,NA,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,34.1574,0.0196,0.0000,53.1474,0.4799,,https://github.com/gapfish/deployer/,1151
boxes,rest,entire,static,vinijmoura_Azure-DevOps,y,technologies,general,NA,NA,n,n,n,high,n,n,,maintainability,vinijmoura/Azure-DevOps,icons,azure,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,34.7878,0.0178,0.0000,56.0732,0.7277,,https://github.com/vinijmoura/Azure-DevOps/,1211
boxes_and_arrows,SOA,entire,static,OpenRoberta_robertalab-ev3dev,y,"packages, clients",connectivity,bi,communication,n,y,n,high,n,y,IOT,maintainability,OpenRoberta/robertalab-ev3dev,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.8025,0.0256,0.0000,50.6522,0.4540,,https://github.com/OpenRoberta/robertalab-ev3dev/,900
boxes_and_arrows,NA,part,static,ibm-hyperknowledge_hklib,y,"DBs, clients, packages",general,uni,dependencies,n,y,n,high,n,n,,maintainability,ibm-hyperknowledge/hklib,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.1808,0.0219,0.0000,56.8727,0.6190,,https://github.com/ibm-hyperknowledge/hklib/,1092
icons_and_arrows,client-server,entire,dynamic,IBM_cognos-analytics-to-visualize-business-data,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,n,,functional_suitability,IBM/cognos-analytics-to-visualize-business-data,"circles, icons",cognos,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.3852,0.0107,89.9760,65.2723,0.8986,,https://github.com/IBM/cognos-analytics-to-visualize-business-data/,922
boxes_and_arrows,client-server,entire,"static, dynamic",beston123_Tarzan,y,"sub-systems, servers, technologies, DBs",control_flow,uni,control_flow,n,y,n,high,n,y,,functional_suitability,beston123/Tarzan,"rectangles, icons","mysql, rocketmq",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6354,0.0147,0.0000,62.0870,0.7562,,https://github.com/beston123/tevent/,1123
boxes_and_arrows,NA,entire,"static, dynamic",serverdevcamp_camp4_quadcore,y,"APIs, DBs, technologies",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,serverdevcamp/camp4_quadcore,"circles, icons, rectangles","twitter, apache, cassandra",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.2958,0.0170,0.0000,58.0243,0.5989,,https://github.com/serverdevcamp/camp4_quadcore/,1199
boxes_and_arrows,"rest, MVC",entire,static,heli-os_member-invitation-java-springboot,n,"packages, DBs, services",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,heli-os/member-invitation-java-springboot,"rectangles, squares","aws, redis",,,,37.0941,0.0140,0.0000,61.7971,0.6652,,https://github.com/heli-os/member-invitation-java-springboot/,1038
boxes_and_arrows,"microservices, layered",entire,static,itays123_partydeck,y,"DBs, services, clients",general,uni,dependencies,n,y,n,high,n,y,,maintainability,itays123/partydeck,"rectangles, squares",mongodb,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.9412,0.0282,0.0000,58.6428,0.6463,,https://github.com/itays123/partydeck/,1069
boxes_and_arrows,"client-server, publish-subscribe",entire+,static,liyangbing_rocketmq-http-gateway,y,"servers, technologies, sub-systems",connectivity,uni,communication,parameters,y,n,medium,n,y,,maintainability,liyangbing/rocketmq-http-gateway,rectangles,"rocketmq, apache",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.1972,0.0174,0.0000,60.6264,0.7265,,https://github.com/liyangbing/rocketmq-http-gateway/,980
boxes,"layered, SOA",entire,static,zeromicro_zero-doc,y,"services, DBs, APIs, features",general,uni,communication,n,y,n,medium,n,y,,maintainability,zeromicro/zero-doc,rectangles,"mysql, postgresql, mongodb, clickhouse, redis, kubernetes, etcd, consul, nacos, polarismesh",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.0349,0.0177,0.0000,63.3819,0.7822,,https://github.com/zeromicro/zero-doc/,1435
icons_and_arrows,NA,entire,static,chsakell_planet-scale-azure,y,"DBs, servers","deployment, connectivity",no,communication,n,y,n,high,n,n,,flexibility,chsakell/planet-scale-azure,icons,azure,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.2768,0.0485,0.0000,39.4277,0.2445,,https://github.com/chsakell/planet-scale-azure/,981
boxes_and_arrows,pipes-and-filters,entire,dynamic,GoogleCloudPlatform_analytics-componentized-patterns,y,steps,control_flow,uni,control_flow,text,y,n,high,n,n,,functional_suitability,GoogleCloudPlatform/analytics-componentized-patterns,"rectangles, icons",google,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0837,0.0157,0.0000,61.6188,0.6720,,https://github.com/GoogleCloudPlatform/analytics-componentized-patterns/,1575
boxes,layered,entire+,static,exmgr_GatewayXM,y,"layers, services, sub-systems, technologies",general,NA,NA,snapshots,n,n,medium,n,y,IOT,maintainability,exmgr/GatewayXM,rectangles,"java, eclipse",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.7851,0.0514,0.0000,42.9665,0.1131,,https://github.com/exmgr/GatewayXM/,796
icons_and_arrows,microservices,entire,dynamic,oovk_dataengg-covid19-aws,y,"technologies, DBs, services",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,oovk/dataengg-covid19-aws,"rectangles, squares, icons",aws,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5625,0.0132,0.0000,59.4805,0.6093,,https://github.com/oovk/dataengg-covid19-aws/,787
UML,client-server,entire,static,ndsev_zswag,y,"packages, classes",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,ndsev/zswag,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,28.6773,0.0368,0.0000,50.4631,0.3815,,https://github.com/ndsev/zswag/,925
icons_and_arrows,smart-contracts,entire,static,shawntabrizi_Ethereum-Twitter-Bounty,y,"contracts, technologies, clients",general,"uni, bi",communication,n,y,n,medium,n,n,blockchain,maintainability,shawntabrizi/Ethereum-Twitter-Bounty,icons,"ethereum, oraclize, twitter, web3js",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.5766,0.0148,0.0000,59.4898,0.7604,,https://github.com/shawntabrizi/Ethereum-Twitter-Bounty/,1018
"boxes, icons_and_arrows",client-server,part,static,badr42_oke_A1,y,"network_components, containers","deployment, connectivity, performance",uni,communication,n,y,n,medium,n,y,,"flexibility, performance_efficiency, reliability",badr42/oke_A1,"rectangles, icons","kubernetes, oracle",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0996,0.0111,0.0000,59.6183,0.5658,,https://github.com/badr42/oke_A1/,906
boxes_and_arrows,client-server,entire,static,ev2900_OpenSearch_Dashboard_Nginx_Proxy,y,"servers, services","deployment, connectivity",bi,communication,URLs,y,n,high,n,y,,security,ev2900/OpenSearch_Dashboard_Nginx_Proxy,"rectangles, icons","nginx, aws, opensearch",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.9629,0.0126,0.0000,59.9286,0.7333,,https://github.com/ev2900/OpenSearch_Dashboard_Nginx_Proxy/,578
boxes_and_arrows,SOA,entire+,static,AndreasM009_AadApiGatekeeper,y,"containers, APIs, services, technologies",deployment,"uni, no",communication,n,y,y,high,n,y,,"flexibility, security",AndreasM009/AadApiGatekeeper,"ellipses, icons, rectangles","azure, kubernetes",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.3276,0.0482,0.0000,44.3895,0.2160,,https://github.com/AndreasM009/AadApiGatekeeper/,1248
boxes_and_arrows,"MVI, layered",entire,"static, dynamic",kaleidot725_Draft,y,"DBs, sub-systems",general,uni,"control_flow, data_flow",n,y,n,high,n,y,,maintainability,kaleidot725/Draft,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0397,0.0125,0.0000,61.6280,0.4314,,https://github.com/kaleidot725/Draft/,862
icons_and_arrows,SOA,entire+,static,Azure_AzureStack-QuickStart-Templates,y,"network_components, DBs, APIs, functions","deployment, connectivity, performance, security",uni,"data_flow, API_calls, communication",n,y,n,high,n,y,,"flexibility, security, maintainability",Azure/AzureStack-QuickStart-Templates,"rectangles, icons",azure,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1057,0.0119,0.0000,59.2153,0.6331,,https://github.com/Azure/AzureStack-QuickStart-Templates/,1449
boxes_and_arrows,NA,entire,dynamic,Fintan-contents_case-studies,y,steps,control_flow,uni,control_flow,n,y,n,high,n,n,,"interaction_capability, functional_suitability",Fintan-contents/case-studies,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9256,0.0159,0.0000,58.1140,0.6442,,https://github.com/Fintan-contents/case-studies/,753
"icons_and_arrows, boxes",microservices,entire,dynamic,spikecodes_stotra,y,"DBs, technologies",deployment,"uni, bi",communication,n,y,n,medium,n,y,,maintainability,spikecodes/stotra,"rectangles, squares, icons","react, aws, mongodb, cloudflare",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.1200,0.0124,0.0000,62.6941,0.8273,,https://github.com/spikecodes/stotra/,1275
boxes_and_arrows,client-server,entire,static,blentle_hikarikeeper,y,"servers, DBs","deployment, connectivity",uni,communication,n,y,n,high,n,y,,flexibility,blentle/hikarikeeper,"rectangles, cylinders",rocksdb,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.7850,0.0361,0.0000,54.1761,0.4885,,https://github.com/blentle/hikarikeeper/,1466
boxes_and_arrows,event-driven,entire,dynamic,tarhses_esp-alarm-clock,n,packages,control_flow,uni,control_flow,text,y,n,medium,n,n,,"functional_suitability, reliability",tarhses/esp-alarm-clock,"rectangles, circles",NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.1443,0.0156,0.0000,58.4440,0.6121,,https://github.com/tarhses/esp-alarm-clock/,950
boxes_and_arrows,SOA,part,dynamic,balajich_resilience4j-helloworld,n,"services, clients, functions",control_flow,uni,communication,n,y,n,medium,n,y,,"functional_suitability, reliability",balajich/resilience4j-helloworld,"ellipses, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4337,0.0134,0.0000,60.3375,0.7503,,https://github.com/balajich/resilience4j-helloworld/,1113
boxes_and_arrows,"hexagonal, layered",entire,static,clemgbld_blog_back_office,y,ports,connectivity,uni,communication,n,y,y,medium,n,y,,maintainability,clemgbld/blog_back_office,"rectangles, hexagons",NA,,,,38.8418,0.0114,0.0000,61.8018,0.7339,,https://github.com/clemgbld/blog_back_office/,986
boxes_and_arrows,layered,entire,"static, dynamic",CMU-RERC-APT_tiramisu3-pr,y,"DBs, sub-systems, classes",control_flow,"uni, bi",communication,n,y,n,medium,y,n,,"functional_suitability, maintainability",CMU-RERC-APT/tiramisu3-pr,"rectangles, cylinders",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.3890,0.0538,0.0000,44.2764,0.1554,,https://github.com/CMU-RERC-APT/tiramisu3-pr/,1630
boxes_and_arrows,layered,entire,dynamic,dylanvanh_MunchOut,y,"classes, layers, APIs, DBs",data_flow,uni,communication,n,y,n,medium,n,y,,maintainability,dylanvanh/MunchOut,"rectangles, icons",mysql,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.3546,0.0151,0.0000,64.2501,0.7783,,https://github.com/dylanvanh/MunchOut/,949
boxes,clean,entire,static,alextanhongpin_node-rest,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,alextanhongpin/node-rest,circles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.2575,0.0212,89.8994,55.6877,0.7510,,https://github.com/alextanhongpin/node-rest/,865
icons_and_arrows,client-server,part,dynamic,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,"circles, icons","watson, jupyter, tensorflow",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.7170,0.0581,0.0000,27.7324,0.0254,,https://github.com/IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras/,565
icons_and_arrows,NA,part,dynamic,microsoft_covid19-BackToWork,y,"technologies, layers",control_flow,uni,control_flow,text,y,n,high,n,y,,"functional_suitability, maintainability",microsoft/covid19-BackToWork,icons,"azure, microsoft, twilio, powerbi",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.6334,0.0130,0.0000,62.4894,0.8009,,https://github.com/microsoft/covid19-BackToWork/,1004
boxes_and_arrows,rest,part,"static, dynamic",florianhoehn_sf-apex-rest-api,y,classes,general,no,inheritance,text,y,n,low,y,n,manual sketch,maintainability,florianhoehn/sf-apex-rest-api,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.4871,0.0168,0.0000,61.0672,0.7181,,https://github.com/florianhoehn/sf-apex-rest-api/,1154
boxes_and_arrows,client-server,part,dynamic,boot2podman_machine,y,servers,connectivity,uni,communication,n,y,n,high,n,y,,maintainability,boot2podman/machine,"ellipses, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.4251,0.0167,0.0000,52.9150,0.4589,,https://github.com/boot2podman/machine/,1120
boxes,layered,entire,static,Xsidelight_flutter_interview_questions,y,"layers, packages",general,NA,NA,n,n,n,medium,n,y,,maintainability,Xsidelight/flutter_interview_questions,rectangles,dart,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.3948,0.0339,0.0000,49.8172,0.3525,,https://github.com/Xsidelight/flutter_interview_questions/,695
boxes,layered,entire,static,aliyun_packagist-mirror,y,"layers, coroutines",general,NA,NA,n,n,n,medium,n,y,,maintainability,aliyun/packagist-mirror,"rectangles, icons","github, composer",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.2893,0.0543,0.0000,45.3624,0.1640,,https://github.com/aliyun/packagist-mirror/,1112
boxes_and_arrows,event-driven,entire,dynamic,laziestcoder_Budget_App_JS,y,"functions, layers",control_flow,uni,control_flow,n,y,n,low,n,y,,"functional_suitability, maintainability",laziestcoder/Budget_App_JS,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3938,0.0145,0.0000,59.9989,0.6650,,https://github.com/laziestcoder/Budget_App_JS/,657
"boxes, icons_and_arrows",NA,entire+,"static, dynamic",IBM_spectrum-protect-sppmon,y,"APIs, technologies, VMs","connectivity, control_flow",uni,"control_flow, function_calls",n,y,y,medium,n,y,,"interaction_capability, functional_suitability",IBM/spectrum-protect-sppmon,"rectangles, icons",ibm,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8687,0.0161,0.0000,57.9028,0.6533,,https://github.com/IBM/sppmon/,1548
boxes_and_arrows,rest,entire,dynamic,input-output-hk_marlowe-starter-kit,y,"packages, DBs","scheduling, control_flow",uni,function_calls,text,y,y,medium,n,y,,interaction_capability,input-output-hk/marlowe-starter-kit,rectangles,postgresql,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4997,0.0150,0.0000,58.0912,0.5905,,https://github.com/input-output-hk/marlowe-starter-kit/,1163
boxes_and_arrows,NA,entire+,"static, dynamic",eqbal_CarND_Capstone_CarX,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,eqbal/CarND_Capstone_CarX,rectangles,ros,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.4381,0.0150,0.0000,60.2935,0.6932,,https://github.com/eqbal/CarND_Capstone_CarX/,825
icons_and_arrows,client-server,part,dynamic,pacmacro_pm-server-spring,y,"servers, clients","deployment, control_flow",uni,data_flow,n,y,n,high,n,n,,flexibility,pacmacro/pm-server-spring,"icons, 3d",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1535,0.0139,0.0000,58.1594,0.7331,,https://github.com/pacmacro/pm-server-spring/,1076
icons_and_arrows,"pipes-and-filters, SOA",entire+,dynamic,ruoccofabrizio_azure-open-ai-embeddings-qna,y,data,"data_flow, control_flow",uni,data_flow,text,y,n,medium,n,n,,functional_suitability,ruoccofabrizio/azure-open-ai-embeddings-qna,icons,azure,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0878,0.0156,0.0000,59.4124,0.7406,,https://github.com/ruoccofabrizio/azure-open-ai-embeddings-qna/,868
icons_and_arrows,publish-subscribe,entire+,dynamic,jinnerbichler_flash-home,n,"sub-systems, servers",connectivity,uni,communication,n,y,n,high,n,n,iot,interaction_capability,jinnerbichler/flash-home,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.7158,0.0581,0.0000,22.3273,0.0135,,https://github.com/jinnerbichler/flash-home/,963
UML,MVC,entire,static,OpenPSD_modelbank,n,"packages, classes, data",general,uni,inheritance,n,y,n,medium,n,y,,maintainability,OpenPSD/modelbank,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7996,0.0144,0.0000,58.6491,0.6853,,https://github.com/OpenPSD/modelbank/,1126
boxes_and_arrows,NA,entire+,static,minism_hotel,y,"servers, containers",deployment,uni,communication,text,y,n,high,n,n,,"flexibility, performance_efficiency",minism/hotel,rectangles,unity,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,24.9449,0.0566,0.0000,35.4867,0.0817,,https://github.com/minism/hotel/,961
boxes_and_arrows,MVC,entire,dynamic,IBM_kubernetes-storage,y,"APIs, containers","deployment, scheduling",bi,"API_calls, data_flow",n,y,n,high,y,n,,"functional_suitability, performance_efficiency",IBM/kubernetes-storage,rectangles,kubernetes,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4075,0.0151,0.0000,61.0933,0.7057,,https://github.com/IBM/kubernetes-storage/,739
