Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,oneShot_gpt_LLM_Clarity_Rating,oneShot_gpt_LLM_Completeness_Rating,oneShot_gpt_LLM_Consistency_Rating,oneShot_gpt_PSNR,oneShot_gpt_RMSE,oneShot_gpt_SAM,oneShot_gpt_SRE,oneShot_gpt_SSIM,oneShot_gpt_UIQ,repo_url,summary_token_count
boxes_and_arrows,microservices,entire,"static, dynamic",hotshot07_distributed_systems,y,"services, servers, DBs, clients",deployment,uni,"control_flow, data_flow",n,y,n,medium,y,y,,"maintainability, flexibility, interaction_capability",hotshot07/distributed_systems,"rectangles, cylinders, icons","kubernetes, react, nginx, flask",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.2882,0.0122,89.8226,60.0565,0.6669,-0.0023,https://github.com/hotshot07/distributed_systems/,928
boxes_and_arrows,layered,entire,static,fdrennan_ndexr-platform,y,sub-systems,general,bi,dependencies,n,y,n,high,n,y,,maintainability,fdrennan/ndexr-platform,"rectangles, squares, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6113,0.0588,7.3543,26.5025,0.0101,-0.0017,https://github.com/fdrennan/ndexr-platform/,1036
boxes,client-server,entire,"static, dynamic",wso2_chef-apim,y,"servers, APIs, sub-systems, data",connectivity,uni,function_calls,n,y,n,medium,n,y,,"functional_suitability, maintainability, reliability",wso2/chef-apim,"rectangles, squares, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.5761,0.0235,89.7858,55.7139,0.5634,0.0025,https://github.com/wso2/chef-apim/,1005
boxes_and_arrows,MVC,part,static,ra1028_VueFlux,y,classes,general,uni,dependencies,n,y,n,low,n,y,,maintainability,ra1028/VueFlux,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.5617,0.0591,6.6463,24.9035,0.0262,0.0005,https://github.com/ra1028/VueFlux/,976
boxes_and_arrows,client-server,entire,static,btcpayserver_btcpayserver-doc,y,"packages, containers, functions, devices",deployment,uni,dependencies,parameters,y,n,low,y,n,,maintainability,btcpayserver/btcpayserver-doc,rectangles,docker,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.7699,0.0289,81.4341,55.0118,0.4950,-0.0002,https://github.com/btcpayserver/btcpayserver-doc/,1111
boxes_and_arrows,NA,part,static,ingeniala_heybluekata,y,quality-attributes,general,"uni, no",dependencies,n,y,n,medium,n,y,quality attributes,"security, maintainability, flexibility, performance_efficiency, interaction_capability",ingeniala/heybluekata,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3450,0.0136,88.6745,60.5401,0.6434,0.0032,https://github.com/ingeniala/heybluekata/,1200
boxes_and_arrows,"layered, SOA",entire+,static,WeBankFinTech_DeFiBus,y,"DBs, clients, services, layers","deployment, connectivity","uni, bi",data_flow,text,y,n,high,n,y,,"maintainability, flexibility, performance_efficiency",WeBankFinTech/DeFiBus,"rectangles, cylinders, ellipses, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7194,0.0146,89.3054,58.1997,0.5152,0.0049,https://github.com/WeBankFinTech/DeFiBus/,1198
icons_and_arrows,event-driven,entire,"static, dynamic",rubenbupe_proyectos-data,y,technologies,"deployment, connectivity",uni,communication,URLs,y,y,high,n,y,,"maintainability, security",rubenbupe/proyectos-data,"rectangles, icons","mongodb, rabbitmq, grafana, kubernetes, prometheus",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.0007,0.0562,12.6562,33.7986,0.0341,0.0004,https://github.com/rubenbupe/proyectos-data/,1119
"icons_and_arrows, boxes",client-server,entire,static,open-risk_Open_Risk_API,y,servers,deployment,"uni, bi","data_flow, communication",n,y,n,high,n,y,,maintainability,open-risk/Open_Risk_API,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1602,0.0139,89.4551,58.1497,0.5983,0.0023,https://github.com/open-risk/Open_Risk_API/,903
boxes_and_arrows,"event-driven, MVC",entire,"static, dynamic",redbadger_crux,y,"APIs, clients, sub-systems","connectivity, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",redbadger/crux,"rectangles, cylinders, ellipses",NA,,,,,,,,,,https://github.com/redbadger/crux/,1704
boxes_and_arrows,"client-server, microservices",entire,static,sup2is_e-commerce-project,y,"DBs, services, servers, APIs","deployment, connectivity","uni, no",communication,n,y,n,high,n,n,,maintainability,sup2is/e-commerce-project,"circles, rectangles, cylinders","redis, nginx, eureka, zipkin",,,,NA,NA,NA,NA,NA,NA,https://github.com/sup2is/e-commerce-project/,1226
icons_and_arrows,client-server,entire,dynamic,AhmedAbdelGawadFarag_Shams-Personal-Assistant,y,"APIs, servers, clients",data_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,AhmedAbdelGawadFarag/Shams-Personal-Assistant,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7796,0.0115,89.9427,59.7323,0.6832,-0.0021,https://github.com/AhmedAbdelGawadFarag/Shams-Personal-Assistant/,1165
boxes_and_arrows,smart-contracts,part,dynamic,Nishu0_anime_nft_marketplace,y,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,blockchain,"functional_suitability, interaction_capability",Nishu0/anime_nft_marketplace,"rectangles, diamonds",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8557,0.0128,89.8902,58.1821,0.6285,-0.0056,https://github.com/Nishu0/anime_nft_marketplace/,888
icons_and_arrows,client-server,entire+,"static, dynamic",ertis-research_lwm2m-blockchain,y,"clients, servers, APIs, network_components","connectivity, control_flow","uni, bi","control_flow, communication",text,y,n,high,n,n,blockchain,"security, functional_suitability",ertis-research/lwm2m-blockchain,"circles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1197,0.0156,87.7422,60.8472,0.7252,-0.0001,https://github.com/ertis-research/lwm2m-blockchain/,1085
boxes_and_arrows,"microservices, event-driven",entire,dynamic,geovanegodoi_MicroServicesPOC,y,"DBs, services, bus, clients, APIs","deployment, control_flow","uni, bi, bus","control_flow, data_flow",n,y,n,medium,n,y,,"maintainability, interaction_capability",geovanegodoi/MicroServicesPOC,"rectangles, cylinders, hexagons, icons, squares","docker, rabbitmq, mongodb",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.9224,0.0160,89.2750,59.7432,0.6859,0.0006,https://github.com/geovanegodoi/MicroServicesPOC/,894
boxes_and_arrows,NA,entire+,static,gpsnmeajp_VirtualMotionTracker,y,"clients, sub-systems, technologies","deployment, connectivity","uni, bi",communication,n,y,y,high,n,y,,maintainability,gpsnmeajp/VirtualMotionTracker,rectangles,"openvr, c++, c#",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.3871,0.0270,89.7897,54.8291,0.5965,0.0109,https://github.com/gpsnmeajp/VirtualMotionTracker/,1120
boxes,layered,entire,static,intel_edge-insights-vision,y,"hardware_components, technologies, layers",general,NA,NA,n,n,n,high,n,y,,maintainability,intel/edge-insights-vision,"rectangles, squares","docker, jupyter, intel, linux, windows",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.5213,0.0421,89.2042,47.7210,0.3250,-0.0051,https://github.com/intel/edge-insights-vision/,1070
boxes,event-driven,part,static,mendhak_gpslogger,y,"bus, services, clients",connectivity,"bus, uni, bi",communication,n,n,n,medium,n,y,,maintainability,mendhak/gpslogger,"rectangles, icons",NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,34.3783,0.0191,84.6796,54.6968,0.4422,-0.0004,https://github.com/mendhak/gpslogger/,1208
boxes_and_arrows,NA,entire+,dynamic,mrubash1_trainspotting,y,"hardware_components, sub-systems, technologies",control_flow,uni,control_flow,n,y,n,high,n,y,IOT,functional_suitability,mrubash1/trainspotting,"rectangles, squares, icons","jupyter, tensorflow",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.8633,0.0227,83.0174,58.4688,0.6914,0.0037,https://github.com/mrubash1/trainspotting/,799
icons_and_arrows,client-server,entire,dynamic,JessNah_BeeGreen,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,y,,"functional_suitability, interaction_capability",JessNah/BeeGreen,"circles, icons, rectangles","react, typescript, nodejs, ibm",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.5424,0.0420,49.5861,53.5959,0.3973,0.0005,https://github.com/JessNah/BeeGreen/,1004
boxes_and_arrows,NA,entire,static,JuliaParallel_DagScheduler.jl,n,sub-systems,"data_flow, performance",bi,data_flow,n,y,n,high,n,y,,"flexibility, performance_efficiency",JuliaParallel/DagScheduler.jl,"rectangles, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6373,0.0131,89.6982,58.6215,0.5760,0.0049,https://github.com/JuliaParallel/DagScheduler.jl/,767
boxes_and_arrows,client-server,entire,static,FPriv_factom-harmony-connect-python-sdk,y,"packages, classes, APIs, sub-systems",general,bi,dependencies,n,y,n,medium,n,y,,maintainability,FPriv/factom-harmony-connect-python-sdk,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,39.1087,0.0111,89.9191,60.7025,0.6550,0.0037,https://github.com/FPriv/factom-harmony-connect-python-sdk/,793
icons_and_arrows,NA,entire,dynamic,yoshixmk_remarks,y,technologies,"deployment, control_flow",uni,"control_flow, data_flow",n,y,n,high,n,n,,"functional_suitability, maintainability",yoshixmk/remarks,icons,"google, html, github, fauna, deploy",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7857,0.0145,88.9494,58.5173,0.7289,-0.0014,https://github.com/yoshixmk/remarks/,815
"icons_and_arrows, boxes",client-server,part,dynamic,miztiik_aws-real-time-use-cases,y,technologies,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,functional_suitability,miztiik/aws-real-time-use-cases,"rectangles, icons",aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.1008,0.0556,17.9647,40.0541,0.1053,-0.0016,https://github.com/miztiik/aws-real-time-use-cases/,640
icons_and_arrows,NA,part,dynamic,gapfish_deployer,n,"DBs, technologies",deployment,bi,control_flow,n,y,n,high,n,n,manual sketch,maintainability,gapfish/deployer,icons,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,34.4969,0.0188,89.7773,53.3377,0.4504,-0.0008,https://github.com/gapfish/deployer/,1151
boxes,rest,entire,static,vinijmoura_Azure-DevOps,y,technologies,general,NA,NA,n,n,n,high,n,n,,maintainability,vinijmoura/Azure-DevOps,icons,azure,Meets Expectations,Meets Expectations,Meets Expectations,34.7095,0.0184,89.8784,56.0203,0.6074,0.0007,https://github.com/vinijmoura/Azure-DevOps/,1211
boxes_and_arrows,SOA,entire,static,OpenRoberta_robertalab-ev3dev,y,"packages, clients",connectivity,bi,communication,n,y,n,high,n,y,IOT,maintainability,OpenRoberta/robertalab-ev3dev,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.9105,0.0254,81.9949,50.6692,0.3725,-0.0049,https://github.com/OpenRoberta/robertalab-ev3dev/,900
boxes_and_arrows,NA,part,static,ibm-hyperknowledge_hklib,y,"DBs, clients, packages",general,uni,dependencies,n,y,n,high,n,n,,maintainability,ibm-hyperknowledge/hklib,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.2104,0.0219,81.2096,56.8817,0.6019,-0.0187,https://github.com/ibm-hyperknowledge/hklib/,1092
icons_and_arrows,client-server,entire,dynamic,IBM_cognos-analytics-to-visualize-business-data,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,n,,functional_suitability,IBM/cognos-analytics-to-visualize-business-data,"circles, icons",cognos,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.2306,0.0097,89.9436,65.6337,0.8627,-0.0012,https://github.com/IBM/cognos-analytics-to-visualize-business-data/,922
boxes_and_arrows,client-server,entire,"static, dynamic",beston123_Tarzan,y,"sub-systems, servers, technologies, DBs",control_flow,uni,control_flow,n,y,n,high,n,y,,functional_suitability,beston123/Tarzan,"rectangles, icons","mysql, rocketmq",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8461,0.0144,89.3521,62.1944,0.7432,0.0001,https://github.com/beston123/tevent/,1123
boxes_and_arrows,NA,entire,"static, dynamic",serverdevcamp_camp4_quadcore,y,"APIs, DBs, technologies",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,serverdevcamp/camp4_quadcore,"circles, icons, rectangles","twitter, apache, cassandra",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5585,0.0167,89.8984,58.2299,0.6038,-0.0009,https://github.com/serverdevcamp/camp4_quadcore/,1199
boxes_and_arrows,"rest, MVC",entire,static,heli-os_member-invitation-java-springboot,n,"packages, DBs, services",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,heli-os/member-invitation-java-springboot,"rectangles, squares","aws, redis",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,39.0874,0.0111,89.8926,62.7890,0.6951,0.0017,https://github.com/heli-os/member-invitation-java-springboot/,1038
boxes_and_arrows,"microservices, layered",entire,static,itays123_partydeck,y,"DBs, services, clients",general,uni,dependencies,n,y,n,high,n,y,,maintainability,itays123/partydeck,"rectangles, squares",mongodb,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.9076,0.0285,89.7487,58.6388,0.6364,-0.0004,https://github.com/itays123/partydeck/,1069
boxes_and_arrows,"client-server, publish-subscribe",entire+,static,liyangbing_rocketmq-http-gateway,y,"servers, technologies, sub-systems",connectivity,uni,communication,parameters,y,n,medium,n,y,,maintainability,liyangbing/rocketmq-http-gateway,rectangles,"rocketmq, apache",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9978,0.0141,89.9130,61.5465,0.7962,-0.0003,https://github.com/liyangbing/rocketmq-http-gateway/,980
boxes,"layered, SOA",entire,static,zeromicro_zero-doc,y,"services, DBs, APIs, features",general,uni,communication,n,y,n,medium,n,y,,maintainability,zeromicro/zero-doc,rectangles,"mysql, postgresql, mongodb, clickhouse, redis, kubernetes, etcd, consul, nacos, polarismesh",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.6589,0.0185,89.7524,63.2188,0.6919,0.0023,https://github.com/zeromicro/zero-doc/,1435
icons_and_arrows,NA,entire,static,chsakell_planet-scale-azure,y,"DBs, servers","deployment, connectivity",no,communication,n,y,n,high,n,n,,flexibility,chsakell/planet-scale-azure,icons,azure,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.1625,0.0492,87.7945,39.3825,0.1940,0.0010,https://github.com/chsakell/planet-scale-azure/,981
boxes_and_arrows,pipes-and-filters,entire,dynamic,GoogleCloudPlatform_analytics-componentized-patterns,y,steps,control_flow,uni,control_flow,text,y,n,high,n,n,,functional_suitability,GoogleCloudPlatform/analytics-componentized-patterns,"rectangles, icons",google,,,,NA,NA,NA,NA,NA,NA,https://github.com/GoogleCloudPlatform/analytics-componentized-patterns/,1575
boxes,layered,entire+,static,exmgr_GatewayXM,y,"layers, services, sub-systems, technologies",general,NA,NA,snapshots,n,n,medium,n,y,IOT,maintainability,exmgr/GatewayXM,rectangles,"java, eclipse",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.9589,0.0504,31.4347,43.0479,0.1067,0.0023,https://github.com/exmgr/GatewayXM/,796
icons_and_arrows,microservices,entire,dynamic,oovk_dataengg-covid19-aws,y,"technologies, DBs, services",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,oovk/dataengg-covid19-aws,"rectangles, squares, icons",aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6762,0.0131,89.8105,59.5408,0.5806,0.0002,https://github.com/oovk/dataengg-covid19-aws/,787
UML,client-server,entire,static,ndsev_zswag,y,"packages, classes",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,ndsev/zswag,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.8006,0.0363,61.3114,50.5206,0.2951,0.0018,https://github.com/ndsev/zswag/,925
icons_and_arrows,smart-contracts,entire,static,shawntabrizi_Ethereum-Twitter-Bounty,y,"contracts, technologies, clients",general,"uni, bi",communication,n,y,n,medium,n,n,blockchain,maintainability,shawntabrizi/Ethereum-Twitter-Bounty,icons,"ethereum, oraclize, twitter, web3js",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.0053,0.0158,89.1887,59.1963,0.6593,0.0029,https://github.com/shawntabrizi/Ethereum-Twitter-Bounty/,1018
"boxes, icons_and_arrows",client-server,part,static,badr42_oke_A1,y,"network_components, containers","deployment, connectivity, performance",uni,communication,n,y,n,medium,n,y,,"flexibility, performance_efficiency, reliability",badr42/oke_A1,"rectangles, icons","kubernetes, oracle",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2818,0.0122,89.6724,59.2108,0.5417,0.0035,https://github.com/badr42/oke_A1/,906
boxes_and_arrows,client-server,entire,static,ev2900_OpenSearch_Dashboard_Nginx_Proxy,y,"servers, services","deployment, connectivity",bi,communication,URLs,y,n,high,n,y,,security,ev2900/OpenSearch_Dashboard_Nginx_Proxy,"rectangles, icons","nginx, aws, opensearch",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6541,0.0117,89.5911,60.2494,0.7036,0.0021,https://github.com/ev2900/OpenSearch_Dashboard_Nginx_Proxy/,578
boxes_and_arrows,SOA,entire+,static,AndreasM009_AadApiGatekeeper,y,"containers, APIs, services, technologies",deployment,"uni, no",communication,n,y,y,high,n,y,,"flexibility, security",AndreasM009/AadApiGatekeeper,"ellipses, icons, rectangles","azure, kubernetes",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.4892,0.0474,36.6543,44.4654,0.2493,-0.0010,https://github.com/AndreasM009/AadApiGatekeeper/,1248
boxes_and_arrows,"MVI, layered",entire,"static, dynamic",kaleidot725_Draft,y,"DBs, sub-systems",general,uni,"control_flow, data_flow",n,y,n,high,n,y,,maintainability,kaleidot725/Draft,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.1691,0.0123,88.6636,61.6870,0.4164,0.0006,https://github.com/kaleidot725/Draft/,862
icons_and_arrows,SOA,entire+,static,Azure_AzureStack-QuickStart-Templates,y,"network_components, DBs, APIs, functions","deployment, connectivity, performance, security",uni,"data_flow, API_calls, communication",n,y,n,high,n,y,,"flexibility, security, maintainability",Azure/AzureStack-QuickStart-Templates,"rectangles, icons",azure,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1055,0.0140,89.8405,58.3519,0.5179,0.0036,https://github.com/Azure/AzureStack-QuickStart-Templates/,1449
boxes_and_arrows,NA,entire,dynamic,Fintan-contents_case-studies,y,steps,control_flow,uni,control_flow,n,y,n,high,n,n,,"interaction_capability, functional_suitability",Fintan-contents/case-studies,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4878,0.0134,89.0929,58.8662,0.6889,-0.0009,https://github.com/Fintan-contents/case-studies/,753
"icons_and_arrows, boxes",microservices,entire,dynamic,spikecodes_stotra,y,"DBs, technologies",deployment,"uni, bi",communication,n,y,n,medium,n,y,,maintainability,spikecodes/stotra,"rectangles, squares, icons","react, aws, mongodb, cloudflare",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.7040,0.0103,89.7324,63.4890,0.8238,0.0046,https://github.com/spikecodes/stotra/,1275
boxes_and_arrows,client-server,entire,static,blentle_hikarikeeper,y,"servers, DBs","deployment, connectivity",uni,communication,n,y,n,high,n,y,,flexibility,blentle/hikarikeeper,"rectangles, cylinders",rocksdb,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.9831,0.0356,68.3956,54.2327,0.4513,-0.0004,https://github.com/blentle/hikarikeeper/,1466
boxes_and_arrows,event-driven,entire,dynamic,tarhses_esp-alarm-clock,n,packages,control_flow,uni,control_flow,text,y,n,medium,n,n,,"functional_suitability, reliability",tarhses/esp-alarm-clock,"rectangles, circles",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4643,0.0150,87.3387,58.6026,0.6163,-0.0009,https://github.com/tarhses/esp-alarm-clock/,950
boxes_and_arrows,SOA,part,dynamic,balajich_resilience4j-helloworld,n,"services, clients, functions",control_flow,uni,communication,n,y,n,medium,n,y,,"functional_suitability, reliability",balajich/resilience4j-helloworld,"ellipses, squares",NA,,,,NA,NA,NA,NA,NA,NA,https://github.com/balajich/resilience4j-helloworld/,1113
boxes_and_arrows,"hexagonal, layered",entire,static,clemgbld_blog_back_office,y,ports,connectivity,uni,communication,n,y,y,medium,n,y,,maintainability,clemgbld/blog_back_office,"rectangles, hexagons",NA,,,,NA,NA,NA,NA,NA,NA,https://github.com/clemgbld/blog_back_office/,986
boxes_and_arrows,layered,entire,"static, dynamic",CMU-RERC-APT_tiramisu3-pr,y,"DBs, sub-systems, classes",control_flow,"uni, bi",communication,n,y,n,medium,y,n,,"functional_suitability, maintainability",CMU-RERC-APT/tiramisu3-pr,"rectangles, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.2618,0.0546,18.8950,44.2116,0.1502,0.0002,https://github.com/CMU-RERC-APT/tiramisu3-pr/,1630
boxes_and_arrows,layered,entire,dynamic,dylanvanh_MunchOut,y,"classes, layers, APIs, DBs",data_flow,uni,communication,n,y,n,medium,n,y,,maintainability,dylanvanh/MunchOut,"rectangles, icons",mysql,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.6008,0.0132,89.0069,64.7985,0.8131,0.0011,https://github.com/dylanvanh/MunchOut/,949
boxes,clean,entire,static,alextanhongpin_node-rest,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,alextanhongpin/node-rest,circles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.7011,0.0232,89.7668,55.2827,0.5868,0.0026,https://github.com/alextanhongpin/node-rest/,865
icons_and_arrows,client-server,part,dynamic,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,"circles, icons","watson, jupyter, tensorflow",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6748,0.0584,7.6260,27.7025,0.0229,0.0016,https://github.com/IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras/,565
icons_and_arrows,NA,part,dynamic,microsoft_covid19-BackToWork,y,"technologies, layers",control_flow,uni,control_flow,text,y,n,high,n,y,,"functional_suitability, maintainability",microsoft/covid19-BackToWork,icons,"azure, microsoft, twilio, powerbi",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9959,0.0141,89.2996,62.0743,0.6788,0.0010,https://github.com/microsoft/covid19-BackToWork/,1004
boxes_and_arrows,rest,part,"static, dynamic",florianhoehn_sf-apex-rest-api,y,classes,general,no,inheritance,text,y,n,low,y,n,manual sketch,maintainability,florianhoehn/sf-apex-rest-api,rectangles,NA,Does Not Meet Expectations,Partially Meets Expectations,Partially Meets Expectations,35.5545,0.0167,89.8198,61.1399,0.7046,0.0020,https://github.com/florianhoehn/sf-apex-rest-api/,1154
boxes_and_arrows,client-server,part,dynamic,boot2podman_machine,y,servers,connectivity,uni,communication,n,y,n,high,n,y,,maintainability,boot2podman/machine,"ellipses, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0333,0.0158,88.8944,53.3324,0.4865,0.0048,https://github.com/boot2podman/machine/,1120
boxes,layered,entire,static,Xsidelight_flutter_interview_questions,y,"layers, packages",general,NA,NA,n,n,n,medium,n,y,,maintainability,Xsidelight/flutter_interview_questions,rectangles,dart,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.4229,0.0338,73.3237,49.8292,0.2897,-0.0021,https://github.com/Xsidelight/flutter_interview_questions/,695
boxes,layered,entire,static,aliyun_packagist-mirror,y,"layers, coroutines",general,NA,NA,n,n,n,medium,n,y,,maintainability,aliyun/packagist-mirror,"rectangles, icons","github, composer",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,25.3248,0.0542,22.6722,45.3279,0.1580,-0.0000,https://github.com/aliyun/packagist-mirror/,1112
boxes_and_arrows,event-driven,entire,dynamic,laziestcoder_Budget_App_JS,y,"functions, layers",control_flow,uni,control_flow,n,y,n,low,n,y,,"functional_suitability, maintainability",laziestcoder/Budget_App_JS,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3377,0.0171,89.9011,59.3510,0.6308,-0.0008,https://github.com/laziestcoder/Budget_App_JS/,657
"boxes, icons_and_arrows",NA,entire+,"static, dynamic",IBM_spectrum-protect-sppmon,y,"APIs, technologies, VMs","connectivity, control_flow",uni,"control_flow, function_calls",n,y,y,medium,n,y,,"interaction_capability, functional_suitability",IBM/spectrum-protect-sppmon,"rectangles, icons",ibm,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0379,0.0158,89.0534,57.9769,0.5239,0.0042,https://github.com/IBM/sppmon/,1548
boxes_and_arrows,rest,entire,dynamic,input-output-hk_marlowe-starter-kit,y,"packages, DBs","scheduling, control_flow",uni,function_calls,text,y,y,medium,n,y,,interaction_capability,input-output-hk/marlowe-starter-kit,rectangles,postgresql,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6353,0.0147,88.4768,58.1679,0.6030,0.0012,https://github.com/input-output-hk/marlowe-starter-kit/,1163
boxes_and_arrows,NA,entire+,"static, dynamic",eqbal_CarND_Capstone_CarX,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,eqbal/CarND_Capstone_CarX,rectangles,ros,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5672,0.0148,88.8508,60.3535,0.6888,0.0017,https://github.com/eqbal/CarND_Capstone_CarX/,825
icons_and_arrows,client-server,part,dynamic,pacmacro_pm-server-spring,y,"servers, clients","deployment, control_flow",uni,data_flow,n,y,n,high,n,n,,flexibility,pacmacro/pm-server-spring,"icons, 3d",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.4770,0.0168,87.5113,57.3099,0.5002,0.0013,https://github.com/pacmacro/pm-server-spring/,1076
icons_and_arrows,"pipes-and-filters, SOA",entire+,dynamic,ruoccofabrizio_azure-open-ai-embeddings-qna,y,data,"data_flow, control_flow",uni,data_flow,text,y,n,medium,n,n,,functional_suitability,ruoccofabrizio/azure-open-ai-embeddings-qna,icons,azure,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4320,0.0151,87.8604,59.5251,0.6818,0.0048,https://github.com/ruoccofabrizio/azure-open-ai-embeddings-qna/,868
