Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,repo_url,summary_token_count,zeroShot_deepseek_LLM_Clarity_Rating,zeroShot_deepseek_LLM_Completeness_Rating,zeroShot_deepseek_LLM_Consistency_Rating,zeroShot_deepseek_PSNR,zeroShot_deepseek_RMSE,zeroShot_deepseek_SAM,zeroShot_deepseek_SRE,zeroShot_deepseek_SSIM,zeroShot_deepseek_UIQ
boxes_and_arrows,microservices,entire,"static, dynamic",hotshot07_distributed_systems,y,"services, servers, DBs, clients",deployment,uni,"control_flow, data_flow",n,y,n,medium,y,y,,"maintainability, flexibility, interaction_capability",hotshot07/distributed_systems,"rectangles, cylinders, icons","kubernetes, react, nginx, flask",https://github.com/hotshot07/distributed_systems/,928,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.9911,0.0126,0.0000,59.9064,0.6215,
boxes_and_arrows,layered,entire,static,fdrennan_ndexr-platform,y,sub-systems,general,bi,dependencies,n,y,n,high,n,y,,maintainability,fdrennan/ndexr-platform,"rectangles, squares, icons",NA,https://github.com/fdrennan/ndexr-platform/,1036,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6000,0.0589,0.0000,26.5077,0.0116,
boxes,client-server,entire,"static, dynamic",wso2_chef-apim,y,"servers, APIs, sub-systems, data",connectivity,uni,function_calls,n,y,n,medium,n,y,,"functional_suitability, maintainability, reliability",wso2/chef-apim,"rectangles, squares, icons",NA,https://github.com/wso2/chef-apim/,1005,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.7063,0.0231,0.0000,55.7784,0.5464,
boxes_and_arrows,MVC,part,static,ra1028_VueFlux,y,classes,general,uni,dependencies,n,y,n,low,n,y,,maintainability,ra1028/VueFlux,rectangles,NA,https://github.com/ra1028/VueFlux/,976,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.4978,0.0596,0.0000,24.8816,0.0206,
boxes_and_arrows,client-server,entire,static,btcpayserver_btcpayserver-doc,y,"packages, containers, functions, devices",deployment,uni,dependencies,parameters,y,n,low,y,n,,maintainability,btcpayserver/btcpayserver-doc,rectangles,docker,https://github.com/btcpayserver/btcpayserver-doc/,1111,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.9788,0.0282,0.0000,55.1114,0.5549,
boxes_and_arrows,NA,part,static,ingeniala_heybluekata,y,quality-attributes,general,"uni, no",dependencies,n,y,n,medium,n,y,quality attributes,"security, maintainability, flexibility, performance_efficiency, interaction_capability",ingeniala/heybluekata,rectangles,NA,https://github.com/ingeniala/heybluekata/,1200,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4759,0.0134,0.0000,60.6045,0.6447,
boxes_and_arrows,"layered, SOA",entire+,static,WeBankFinTech_DeFiBus,y,"DBs, clients, services, layers","deployment, connectivity","uni, bi",data_flow,text,y,n,high,n,y,,"maintainability, flexibility, performance_efficiency",WeBankFinTech/DeFiBus,"rectangles, cylinders, ellipses, squares",NA,https://github.com/WeBankFinTech/DeFiBus/,1198,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0442,0.0140,0.0000,58.3732,0.5534,
icons_and_arrows,event-driven,entire,"static, dynamic",rubenbupe_proyectos-data,y,technologies,"deployment, connectivity",uni,communication,URLs,y,y,high,n,y,,"maintainability, security",rubenbupe/proyectos-data,"rectangles, icons","mongodb, rabbitmq, grafana, kubernetes, prometheus",https://github.com/rubenbupe/proyectos-data/,1119,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.3502,0.0189,0.0000,38.2520,0.7041,
"icons_and_arrows, boxes",client-server,entire,static,open-risk_Open_Risk_API,y,servers,deployment,"uni, bi","data_flow, communication",n,y,n,high,n,y,,maintainability,open-risk/Open_Risk_API,"rectangles, icons",NA,https://github.com/open-risk/Open_Risk_API/,903,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9475,0.0127,0.0000,58.5475,0.6097,
boxes_and_arrows,"event-driven, MVC",entire,"static, dynamic",redbadger_crux,y,"APIs, clients, sub-systems","connectivity, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",redbadger/crux,"rectangles, cylinders, ellipses",NA,https://github.com/redbadger/crux/,1704,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.3754,0.0329,0.0000,56.2534,0.5480,
boxes_and_arrows,"client-server, microservices",entire,static,sup2is_e-commerce-project,y,"DBs, services, servers, APIs","deployment, connectivity","uni, no",communication,n,y,n,high,n,n,,maintainability,sup2is/e-commerce-project,"circles, rectangles, cylinders","redis, nginx, eureka, zipkin",https://github.com/sup2is/e-commerce-project/,1226,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.7356,0.0156,0.0000,59.4199,0.5655,
icons_and_arrows,client-server,entire,dynamic,AhmedAbdelGawadFarag_Shams-Personal-Assistant,y,"APIs, servers, clients",data_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,AhmedAbdelGawadFarag/Shams-Personal-Assistant,icons,NA,https://github.com/AhmedAbdelGawadFarag/Shams-Personal-Assistant/,1165,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.9795,0.0112,0.0000,59.7888,0.6989,
boxes_and_arrows,smart-contracts,part,dynamic,Nishu0_anime_nft_marketplace,y,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,blockchain,"functional_suitability, interaction_capability",Nishu0/anime_nft_marketplace,"rectangles, diamonds",NA,https://github.com/Nishu0/anime_nft_marketplace/,888,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5878,0.0117,0.0000,58.5976,0.6075,
icons_and_arrows,client-server,entire+,"static, dynamic",ertis-research_lwm2m-blockchain,y,"clients, servers, APIs, network_components","connectivity, control_flow","uni, bi","control_flow, communication",text,y,n,high,n,n,blockchain,"security, functional_suitability",ertis-research/lwm2m-blockchain,"circles, icons",NA,https://github.com/ertis-research/lwm2m-blockchain/,1085,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8062,0.0162,0.0000,60.6850,0.6989,
boxes_and_arrows,"microservices, event-driven",entire,dynamic,geovanegodoi_MicroServicesPOC,y,"DBs, services, bus, clients, APIs","deployment, control_flow","uni, bi, bus","control_flow, data_flow",n,y,n,medium,n,y,,"maintainability, interaction_capability",geovanegodoi/MicroServicesPOC,"rectangles, cylinders, hexagons, icons, squares","docker, rabbitmq, mongodb",https://github.com/geovanegodoi/MicroServicesPOC/,894,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5221,0.0166,0.0000,59.4858,0.5874,
boxes_and_arrows,NA,entire+,static,gpsnmeajp_VirtualMotionTracker,y,"clients, sub-systems, technologies","deployment, connectivity","uni, bi",communication,n,y,y,high,n,y,,maintainability,gpsnmeajp/VirtualMotionTracker,rectangles,"openvr, c++, c#",https://github.com/gpsnmeajp/VirtualMotionTracker/,1120,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.3530,0.0269,0.0000,54.8059,0.6077,
boxes,layered,entire,static,intel_edge-insights-vision,y,"hardware_components, technologies, layers",general,NA,NA,n,n,n,high,n,y,,maintainability,intel/edge-insights-vision,"rectangles, squares","docker, jupyter, intel, linux, windows",https://github.com/intel/edge-insights-vision/,1070,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.6553,0.0285,0.0000,48.4421,0.1140,
boxes,event-driven,part,static,mendhak_gpslogger,y,"bus, services, clients",connectivity,"bus, uni, bi",communication,n,n,n,medium,n,y,,maintainability,mendhak/gpslogger,"rectangles, icons",NA,https://github.com/mendhak/gpslogger/,1208,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.7587,0.0183,0.0000,54.8879,0.4992,
boxes_and_arrows,NA,entire+,dynamic,mrubash1_trainspotting,y,"hardware_components, sub-systems, technologies",control_flow,uni,control_flow,n,y,n,high,n,y,IOT,functional_suitability,mrubash1/trainspotting,"rectangles, squares, icons","jupyter, tensorflow",https://github.com/mrubash1/trainspotting/,799,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.8661,0.0227,0.0000,58.4633,0.6608,
icons_and_arrows,client-server,entire,dynamic,JessNah_BeeGreen,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,y,,"functional_suitability, interaction_capability",JessNah/BeeGreen,"circles, icons, rectangles","react, typescript, nodejs, ibm",https://github.com/JessNah/BeeGreen/,1004,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.6810,0.0413,0.0000,53.6502,0.4334,
boxes_and_arrows,NA,entire,static,JuliaParallel_DagScheduler.jl,n,sub-systems,"data_flow, performance",bi,data_flow,n,y,n,high,n,y,,"flexibility, performance_efficiency",JuliaParallel/DagScheduler.jl,"rectangles, cylinders",NA,https://github.com/JuliaParallel/DagScheduler.jl/,767,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7613,0.0115,0.0000,59.1837,0.6148,
boxes_and_arrows,client-server,entire,static,FPriv_factom-harmony-connect-python-sdk,y,"packages, classes, APIs, sub-systems",general,bi,dependencies,n,y,n,medium,n,y,,maintainability,FPriv/factom-harmony-connect-python-sdk,rectangles,NA,https://github.com/FPriv/factom-harmony-connect-python-sdk/,793,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,38.7403,0.0114,0.0000,60.4852,0.6371,
icons_and_arrows,NA,entire,dynamic,yoshixmk_remarks,y,technologies,"deployment, control_flow",uni,"control_flow, data_flow",n,y,n,high,n,n,,"functional_suitability, maintainability",yoshixmk/remarks,icons,"google, html, github, fauna, deploy",https://github.com/yoshixmk/remarks/,815,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4552,0.0150,0.0000,58.3518,0.6695,
"icons_and_arrows, boxes",client-server,part,dynamic,miztiik_aws-real-time-use-cases,y,technologies,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,functional_suitability,miztiik/aws-real-time-use-cases,"rectangles, icons",aws,https://github.com/miztiik/aws-real-time-use-cases/,640,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.3283,0.0541,0.0000,40.1778,0.1185,
icons_and_arrows,NA,part,dynamic,gapfish_deployer,n,"DBs, technologies",deployment,bi,control_flow,n,y,n,high,n,n,manual sketch,maintainability,gapfish/deployer,icons,NA,https://github.com/gapfish/deployer/,1151,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.4349,0.0189,0.0000,53.3184,0.4118,
boxes,rest,entire,static,vinijmoura_Azure-DevOps,y,technologies,general,NA,NA,n,n,n,high,n,n,,maintainability,vinijmoura/Azure-DevOps,icons,azure,https://github.com/vinijmoura/Azure-DevOps/,1211,Meets Expectations,Meets Expectations,Meets Expectations,35.0074,0.0173,0.0000,56.2473,0.6496,
boxes_and_arrows,SOA,entire,static,OpenRoberta_robertalab-ev3dev,y,"packages, clients",connectivity,bi,communication,n,y,n,high,n,y,IOT,maintainability,OpenRoberta/robertalab-ev3dev,rectangles,NA,https://github.com/OpenRoberta/robertalab-ev3dev/,900,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.8415,0.0255,0.0000,50.6847,0.4562,
boxes_and_arrows,NA,part,static,ibm-hyperknowledge_hklib,y,"DBs, clients, packages",general,uni,dependencies,n,y,n,high,n,n,,maintainability,ibm-hyperknowledge/hklib,rectangles,NA,https://github.com/ibm-hyperknowledge/hklib/,1092,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.4536,0.0212,0.0000,57.0035,0.6162,
icons_and_arrows,client-server,entire,dynamic,IBM_cognos-analytics-to-visualize-business-data,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,n,,functional_suitability,IBM/cognos-analytics-to-visualize-business-data,"circles, icons",cognos,https://github.com/IBM/cognos-analytics-to-visualize-business-data/,922,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.2015,0.0098,0.0000,65.6145,0.8320,
boxes_and_arrows,client-server,entire,"static, dynamic",beston123_Tarzan,y,"sub-systems, servers, technologies, DBs",control_flow,uni,control_flow,n,y,n,high,n,y,,functional_suitability,beston123/Tarzan,"rectangles, icons","mysql, rocketmq",https://github.com/beston123/tevent/,1123,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4280,0.0134,0.0000,62.4903,0.7600,
boxes_and_arrows,NA,entire,"static, dynamic",serverdevcamp_camp4_quadcore,y,"APIs, DBs, technologies",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,serverdevcamp/camp4_quadcore,"circles, icons, rectangles","twitter, apache, cassandra",https://github.com/serverdevcamp/camp4_quadcore/,1199,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.0878,0.0496,0.0000,53.2714,0.0091,
boxes_and_arrows,"rest, MVC",entire,static,heli-os_member-invitation-java-springboot,n,"packages, DBs, services",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,heli-os/member-invitation-java-springboot,"rectangles, squares","aws, redis",https://github.com/heli-os/member-invitation-java-springboot/,1038,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.1977,0.0098,0.0000,63.3485,0.7207,
boxes_and_arrows,"microservices, layered",entire,static,itays123_partydeck,y,"DBs, services, clients",general,uni,dependencies,n,y,n,high,n,y,,maintainability,itays123/partydeck,"rectangles, squares",mongodb,https://github.com/itays123/partydeck/,1069,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.0294,0.0279,0.0000,58.6984,0.6660,
boxes_and_arrows,"client-server, publish-subscribe",entire+,static,liyangbing_rocketmq-http-gateway,y,"servers, technologies, sub-systems",connectivity,uni,communication,parameters,y,n,medium,n,y,,maintainability,liyangbing/rocketmq-http-gateway,rectangles,"rocketmq, apache",https://github.com/liyangbing/rocketmq-http-gateway/,980,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8994,0.0143,0.0000,61.4896,0.7797,
boxes,"layered, SOA",entire,static,zeromicro_zero-doc,y,"services, DBs, APIs, features",general,uni,communication,n,y,n,medium,n,y,,maintainability,zeromicro/zero-doc,rectangles,"mysql, postgresql, mongodb, clickhouse, redis, kubernetes, etcd, consul, nacos, polarismesh",https://github.com/zeromicro/zero-doc/,1435,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.1721,0.0174,0.0000,63.4571,0.7326,
icons_and_arrows,NA,entire,static,chsakell_planet-scale-azure,y,"DBs, servers","deployment, connectivity",no,communication,n,y,n,high,n,n,,flexibility,chsakell/planet-scale-azure,icons,azure,https://github.com/chsakell/planet-scale-azure/,981,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9675,0.0155,0.0000,44.2613,0.0304,
boxes_and_arrows,pipes-and-filters,entire,dynamic,GoogleCloudPlatform_analytics-componentized-patterns,y,steps,control_flow,uni,control_flow,text,y,n,high,n,n,,functional_suitability,GoogleCloudPlatform/analytics-componentized-patterns,"rectangles, icons",google,https://github.com/GoogleCloudPlatform/analytics-componentized-patterns/,1575,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0724,0.0140,0.0000,62.1203,0.6854,
boxes,layered,entire+,static,exmgr_GatewayXM,y,"layers, services, sub-systems, technologies",general,NA,NA,snapshots,n,n,medium,n,y,IOT,maintainability,exmgr/GatewayXM,rectangles,"java, eclipse",https://github.com/exmgr/GatewayXM/,796,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.4591,0.0266,0.0000,45.7270,0.5237,
icons_and_arrows,microservices,entire,dynamic,oovk_dataengg-covid19-aws,y,"technologies, DBs, services",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,oovk/dataengg-covid19-aws,"rectangles, squares, icons",aws,https://github.com/oovk/dataengg-covid19-aws/,787,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2691,0.0137,0.0000,59.3385,0.5115,
UML,client-server,entire,static,ndsev_zswag,y,"packages, classes",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,ndsev/zswag,rectangles,NA,https://github.com/ndsev/zswag/,925,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,28.8564,0.0361,0.0000,50.5518,0.3259,
icons_and_arrows,smart-contracts,entire,static,shawntabrizi_Ethereum-Twitter-Bounty,y,"contracts, technologies, clients",general,"uni, bi",communication,n,y,n,medium,n,n,blockchain,maintainability,shawntabrizi/Ethereum-Twitter-Bounty,icons,"ethereum, oraclize, twitter, web3js",https://github.com/shawntabrizi/Ethereum-Twitter-Bounty/,1018,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.3434,0.0152,0.0000,59.3691,0.6593,
"boxes, icons_and_arrows",client-server,part,static,badr42_oke_A1,y,"network_components, containers","deployment, connectivity, performance",uni,communication,n,y,n,medium,n,y,,"flexibility, performance_efficiency, reliability",badr42/oke_A1,"rectangles, icons","kubernetes, oracle",https://github.com/badr42/oke_A1/,906,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.9780,0.0249,0.0000,56.1902,0.4884,
boxes_and_arrows,client-server,entire,static,ev2900_OpenSearch_Dashboard_Nginx_Proxy,y,"servers, services","deployment, connectivity",bi,communication,URLs,y,n,high,n,y,,security,ev2900/OpenSearch_Dashboard_Nginx_Proxy,"rectangles, icons","nginx, aws, opensearch",https://github.com/ev2900/OpenSearch_Dashboard_Nginx_Proxy/,578,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5406,0.0118,0.0000,60.1939,0.7075,
boxes_and_arrows,SOA,entire+,static,AndreasM009_AadApiGatekeeper,y,"containers, APIs, services, technologies",deployment,"uni, no",communication,n,y,y,high,n,y,,"flexibility, security",AndreasM009/AadApiGatekeeper,"ellipses, icons, rectangles","azure, kubernetes",https://github.com/AndreasM009/AadApiGatekeeper/,1248,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,26.2988,0.0484,0.0000,44.3786,0.2705,
boxes_and_arrows,"MVI, layered",entire,"static, dynamic",kaleidot725_Draft,y,"DBs, sub-systems",general,uni,"control_flow, data_flow",n,y,n,high,n,y,,maintainability,kaleidot725/Draft,"rectangles, icons",NA,https://github.com/kaleidot725/Draft/,862,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3377,0.0136,0.0000,61.2649,0.3841,
icons_and_arrows,SOA,entire+,static,Azure_AzureStack-QuickStart-Templates,y,"network_components, DBs, APIs, functions","deployment, connectivity, performance, security",uni,"data_flow, API_calls, communication",n,y,n,high,n,y,,"flexibility, security, maintainability",Azure/AzureStack-QuickStart-Templates,"rectangles, icons",azure,https://github.com/Azure/AzureStack-QuickStart-Templates/,1449,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5717,0.0113,0.0000,59.3825,0.6003,
boxes_and_arrows,NA,entire,dynamic,Fintan-contents_case-studies,y,steps,control_flow,uni,control_flow,n,y,n,high,n,n,,"interaction_capability, functional_suitability",Fintan-contents/case-studies,"rectangles, icons",NA,https://github.com/Fintan-contents/case-studies/,753,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7058,0.0130,0.0000,58.9741,0.6453,
"icons_and_arrows, boxes",microservices,entire,dynamic,spikecodes_stotra,y,"DBs, technologies",deployment,"uni, bi",communication,n,y,n,medium,n,y,,maintainability,spikecodes/stotra,"rectangles, squares, icons","react, aws, mongodb, cloudflare",https://github.com/spikecodes/stotra/,1275,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4318,0.0120,0.0000,62.8068,0.7858,
boxes_and_arrows,client-server,entire,static,blentle_hikarikeeper,y,"servers, DBs","deployment, connectivity",uni,communication,n,y,n,high,n,y,,flexibility,blentle/hikarikeeper,"rectangles, cylinders",rocksdb,https://github.com/blentle/hikarikeeper/,1466,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.8245,0.0359,0.0000,54.2069,0.5188,
boxes_and_arrows,event-driven,entire,dynamic,tarhses_esp-alarm-clock,n,packages,control_flow,uni,control_flow,text,y,n,medium,n,n,,"functional_suitability, reliability",tarhses/esp-alarm-clock,"rectangles, circles",NA,https://github.com/tarhses/esp-alarm-clock/,950,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5512,0.0149,0.0000,58.6465,0.6010,
boxes_and_arrows,SOA,part,dynamic,balajich_resilience4j-helloworld,n,"services, clients, functions",control_flow,uni,communication,n,y,n,medium,n,y,,"functional_suitability, reliability",balajich/resilience4j-helloworld,"ellipses, squares",NA,https://github.com/balajich/resilience4j-helloworld/,1113,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3341,0.0136,0.0000,60.2872,0.7083,
boxes_and_arrows,"hexagonal, layered",entire,static,clemgbld_blog_back_office,y,ports,connectivity,uni,communication,n,y,y,medium,n,y,,maintainability,clemgbld/blog_back_office,"rectangles, hexagons",NA,https://github.com/clemgbld/blog_back_office/,986,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0734,0.0111,0.0000,61.9201,0.6821,
boxes_and_arrows,layered,entire,"static, dynamic",CMU-RERC-APT_tiramisu3-pr,y,"DBs, sub-systems, classes",control_flow,"uni, bi",communication,n,y,n,medium,y,n,,"functional_suitability, maintainability",CMU-RERC-APT/tiramisu3-pr,"rectangles, cylinders",NA,https://github.com/CMU-RERC-APT/tiramisu3-pr/,1630,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.1404,0.0246,0.0000,47.6710,0.6207,
boxes_and_arrows,layered,entire,dynamic,dylanvanh_MunchOut,y,"classes, layers, APIs, DBs",data_flow,uni,communication,n,y,n,medium,n,y,,maintainability,dylanvanh/MunchOut,"rectangles, icons",mysql,https://github.com/dylanvanh/MunchOut/,949,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4766,0.0119,0.0000,65.2453,0.8128,
boxes,clean,entire,static,alextanhongpin_node-rest,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,alextanhongpin/node-rest,circles,NA,https://github.com/alextanhongpin/node-rest/,865,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.5773,0.0229,0.0000,55.4048,0.6563,
icons_and_arrows,client-server,part,dynamic,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,"circles, icons","watson, jupyter, tensorflow",https://github.com/IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras/,565,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6522,0.0585,0.0000,27.6993,0.0216,
icons_and_arrows,NA,part,dynamic,microsoft_covid19-BackToWork,y,"technologies, layers",control_flow,uni,control_flow,text,y,n,high,n,y,,"functional_suitability, maintainability",microsoft/covid19-BackToWork,icons,"azure, microsoft, twilio, powerbi",https://github.com/microsoft/covid19-BackToWork/,1004,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5997,0.0131,0.0000,62.3958,0.7567,
boxes_and_arrows,rest,part,"static, dynamic",florianhoehn_sf-apex-rest-api,y,classes,general,no,inheritance,text,y,n,low,y,n,manual sketch,maintainability,florianhoehn/sf-apex-rest-api,rectangles,NA,https://github.com/florianhoehn/sf-apex-rest-api/,1154,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.5572,0.0167,0.0000,61.1050,0.6891,
boxes_and_arrows,client-server,part,dynamic,boot2podman_machine,y,servers,connectivity,uni,communication,n,y,n,high,n,y,,maintainability,boot2podman/machine,"ellipses, squares",NA,https://github.com/boot2podman/machine/,1120,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1786,0.0153,0.0000,53.3726,0.5471,
boxes,layered,entire,static,Xsidelight_flutter_interview_questions,y,"layers, packages",general,NA,NA,n,n,n,medium,n,y,,maintainability,Xsidelight/flutter_interview_questions,rectangles,dart,https://github.com/Xsidelight/flutter_interview_questions/,695,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.4848,0.0335,0.0000,49.8623,0.3069,
boxes,layered,entire,static,aliyun_packagist-mirror,y,"layers, coroutines",general,NA,NA,n,n,n,medium,n,y,,maintainability,aliyun/packagist-mirror,"rectangles, icons","github, composer",https://github.com/aliyun/packagist-mirror/,1112,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,25.3061,0.0543,0.0000,45.3384,0.1565,
boxes_and_arrows,event-driven,entire,dynamic,laziestcoder_Budget_App_JS,y,"functions, layers",control_flow,uni,control_flow,n,y,n,low,n,y,,"functional_suitability, maintainability",laziestcoder/Budget_App_JS,rectangles,NA,https://github.com/laziestcoder/Budget_App_JS/,657,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3757,0.0127,0.0000,60.7924,0.6997,
"boxes, icons_and_arrows",NA,entire+,"static, dynamic",IBM_spectrum-protect-sppmon,y,"APIs, technologies, VMs","connectivity, control_flow",uni,"control_flow, function_calls",n,y,y,medium,n,y,,"interaction_capability, functional_suitability",IBM/spectrum-protect-sppmon,"rectangles, icons",ibm,https://github.com/IBM/sppmon/,1548,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4328,0.0150,0.0000,58.1823,0.5851,
boxes_and_arrows,rest,entire,dynamic,input-output-hk_marlowe-starter-kit,y,"packages, DBs","scheduling, control_flow",uni,function_calls,text,y,y,medium,n,y,,interaction_capability,input-output-hk/marlowe-starter-kit,rectangles,postgresql,https://github.com/input-output-hk/marlowe-starter-kit/,1163,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5238,0.0149,0.0000,58.1075,0.5013,
boxes_and_arrows,NA,entire+,"static, dynamic",eqbal_CarND_Capstone_CarX,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,eqbal/CarND_Capstone_CarX,rectangles,ros,https://github.com/eqbal/CarND_Capstone_CarX/,825,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9692,0.0141,0.0000,60.6093,0.7290,
icons_and_arrows,client-server,part,dynamic,pacmacro_pm-server-spring,y,"servers, clients","deployment, control_flow",uni,data_flow,n,y,n,high,n,n,,flexibility,pacmacro/pm-server-spring,"icons, 3d",NA,https://github.com/pacmacro/pm-server-spring/,1076,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1657,0.0138,0.0000,58.1599,0.6907,
icons_and_arrows,"pipes-and-filters, SOA",entire+,dynamic,ruoccofabrizio_azure-open-ai-embeddings-qna,y,data,"data_flow, control_flow",uni,data_flow,text,y,n,medium,n,n,,functional_suitability,ruoccofabrizio/azure-open-ai-embeddings-qna,icons,azure,https://github.com/ruoccofabrizio/azure-open-ai-embeddings-qna/,868,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8731,0.0161,0.0000,59.2480,0.6697,
