Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,oneShot_deepseek_LLM_Clarity_Rating,oneShot_deepseek_LLM_Completeness_Rating,oneShot_deepseek_LLM_Consistency_Rating,oneShot_deepseek_PSNR,oneShot_deepseek_RMSE,oneShot_deepseek_SAM,oneShot_deepseek_SRE,oneShot_deepseek_SSIM,oneShot_deepseek_UIQ,repo_url,summary_token_count
boxes_and_arrows,microservices,entire,"static, dynamic",hotshot07_distributed_systems,y,"services, servers, DBs, clients",deployment,uni,"control_flow, data_flow",n,y,n,medium,y,y,,"maintainability, flexibility, interaction_capability",hotshot07/distributed_systems,"rectangles, cylinders, icons","kubernetes, react, nginx, flask",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.2894,0.0122,89.8284,60.0548,0.6517,0.0034,https://github.com/hotshot07/distributed_systems/,928
boxes_and_arrows,layered,entire,static,fdrennan_ndexr-platform,y,sub-systems,general,bi,dependencies,n,y,n,high,n,y,,maintainability,fdrennan/ndexr-platform,"rectangles, squares, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6708,0.0584,7.3573,26.5319,0.0110,0.0000,https://github.com/fdrennan/ndexr-platform/,1036
boxes,client-server,entire,"static, dynamic",wso2_chef-apim,y,"servers, APIs, sub-systems, data",connectivity,uni,function_calls,n,y,n,medium,n,y,,"functional_suitability, maintainability, reliability",wso2/chef-apim,"rectangles, squares, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.7468,0.0230,89.7824,55.7996,0.5631,,https://github.com/wso2/chef-apim/,1005
boxes_and_arrows,MVC,part,static,ra1028_VueFlux,y,classes,general,uni,dependencies,n,y,n,low,n,y,,maintainability,ra1028/VueFlux,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.4877,0.0597,6.6485,24.8664,0.0262,,https://github.com/ra1028/VueFlux/,976
boxes_and_arrows,client-server,entire,static,btcpayserver_btcpayserver-doc,y,"packages, containers, functions, devices",deployment,uni,dependencies,parameters,y,n,low,y,n,,maintainability,btcpayserver/btcpayserver-doc,rectangles,docker,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.6098,0.0295,81.4077,54.9319,0.5185,-0.0007,https://github.com/btcpayserver/btcpayserver-doc/,1111
boxes_and_arrows,NA,part,static,ingeniala_heybluekata,y,quality-attributes,general,"uni, no",dependencies,n,y,n,medium,n,y,quality attributes,"security, maintainability, flexibility, performance_efficiency, interaction_capability",ingeniala/heybluekata,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2092,0.0138,88.6604,60.4676,0.6297,0.0026,https://github.com/ingeniala/heybluekata/,1200
boxes_and_arrows,"layered, SOA",entire+,static,WeBankFinTech_DeFiBus,y,"DBs, clients, services, layers","deployment, connectivity","uni, bi",data_flow,text,y,n,high,n,y,,"maintainability, flexibility, performance_efficiency",WeBankFinTech/DeFiBus,"rectangles, cylinders, ellipses, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6450,0.0147,89.2911,58.1577,0.5309,-0.0020,https://github.com/WeBankFinTech/DeFiBus/,1198
icons_and_arrows,event-driven,entire,"static, dynamic",rubenbupe_proyectos-data,y,technologies,"deployment, connectivity",uni,communication,URLs,y,y,high,n,y,,"maintainability, security",rubenbupe/proyectos-data,"rectangles, icons","mongodb, rabbitmq, grafana, kubernetes, prometheus",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,25.0858,0.0557,12.6583,33.8554,0.0343,,https://github.com/rubenbupe/proyectos-data/,1119
"icons_and_arrows, boxes",client-server,entire,static,open-risk_Open_Risk_API,y,servers,deployment,"uni, bi","data_flow, communication",n,y,n,high,n,y,,maintainability,open-risk/Open_Risk_API,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9878,0.0126,89.5797,58.5703,0.6331,,https://github.com/open-risk/Open_Risk_API/,903
boxes_and_arrows,"event-driven, MVC",entire,"static, dynamic",redbadger_crux,y,"APIs, clients, sub-systems","connectivity, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",redbadger/crux,"rectangles, cylinders, ellipses",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/redbadger/crux/,1704
boxes_and_arrows,"client-server, microservices",entire,static,sup2is_e-commerce-project,y,"DBs, services, servers, APIs","deployment, connectivity","uni, no",communication,n,y,n,high,n,n,,maintainability,sup2is/e-commerce-project,"circles, rectangles, cylinders","redis, nginx, eureka, zipkin",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.6691,0.0165,89.6696,59.3192,0.5375,,https://github.com/sup2is/e-commerce-project/,1226
icons_and_arrows,client-server,entire,dynamic,AhmedAbdelGawadFarag_Shams-Personal-Assistant,y,"APIs, servers, clients",data_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,AhmedAbdelGawadFarag/Shams-Personal-Assistant,icons,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4928,0.0133,89.8827,59.0272,0.6226,-0.0032,https://github.com/AhmedAbdelGawadFarag/Shams-Personal-Assistant/,1165
boxes_and_arrows,smart-contracts,part,dynamic,Nishu0_anime_nft_marketplace,y,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,blockchain,"functional_suitability, interaction_capability",Nishu0/anime_nft_marketplace,"rectangles, diamonds",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1743,0.0123,89.9090,58.3652,0.6215,-0.0012,https://github.com/Nishu0/anime_nft_marketplace/,888
icons_and_arrows,client-server,entire+,"static, dynamic",ertis-research_lwm2m-blockchain,y,"clients, servers, APIs, network_components","connectivity, control_flow","uni, bi","control_flow, communication",text,y,n,high,n,n,blockchain,"security, functional_suitability",ertis-research/lwm2m-blockchain,"circles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8352,0.0162,87.6727,60.7058,0.7281,-0.0025,https://github.com/ertis-research/lwm2m-blockchain/,1085
boxes_and_arrows,"microservices, event-driven",entire,dynamic,geovanegodoi_MicroServicesPOC,y,"DBs, services, bus, clients, APIs","deployment, control_flow","uni, bi, bus","control_flow, data_flow",n,y,n,medium,n,y,,"maintainability, interaction_capability",geovanegodoi/MicroServicesPOC,"rectangles, cylinders, hexagons, icons, squares","docker, rabbitmq, mongodb",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.3190,0.0171,89.2318,59.3810,0.5889,-0.0009,https://github.com/geovanegodoi/MicroServicesPOC/,894
boxes_and_arrows,NA,entire+,static,gpsnmeajp_VirtualMotionTracker,y,"clients, sub-systems, technologies","deployment, connectivity","uni, bi",communication,n,y,y,high,n,y,,maintainability,gpsnmeajp/VirtualMotionTracker,rectangles,"openvr, c++, c#",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.3244,0.0272,89.7873,54.7919,0.5589,-0.0111,https://github.com/gpsnmeajp/VirtualMotionTracker/,1120
boxes,layered,entire,static,intel_edge-insights-vision,y,"hardware_components, technologies, layers",general,NA,NA,n,n,n,high,n,y,,maintainability,intel/edge-insights-vision,"rectangles, squares","docker, jupyter, intel, linux, windows",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.4220,0.0426,89.2939,47.6714,0.3281,0.0002,https://github.com/intel/edge-insights-vision/,1070
boxes,event-driven,part,static,mendhak_gpslogger,y,"bus, services, clients",connectivity,"bus, uni, bi",communication,n,n,n,medium,n,y,,maintainability,mendhak/gpslogger,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,34.7893,0.0182,84.8238,54.9018,0.4940,,https://github.com/mendhak/gpslogger/,1208
boxes_and_arrows,NA,entire+,dynamic,mrubash1_trainspotting,y,"hardware_components, sub-systems, technologies",control_flow,uni,control_flow,n,y,n,high,n,y,IOT,functional_suitability,mrubash1/trainspotting,"rectangles, squares, icons","jupyter, tensorflow",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.9049,0.0226,82.9312,58.4911,0.6772,,https://github.com/mrubash1/trainspotting/,799
icons_and_arrows,client-server,entire,dynamic,JessNah_BeeGreen,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,y,,"functional_suitability, interaction_capability",JessNah/BeeGreen,"circles, icons, rectangles","react, typescript, nodejs, ibm",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,27.5666,0.0418,49.5698,53.6078,0.4064,0.0004,https://github.com/JessNah/BeeGreen/,1004
boxes_and_arrows,NA,entire,static,JuliaParallel_DagScheduler.jl,n,sub-systems,"data_flow, performance",bi,data_flow,n,y,n,high,n,y,,"flexibility, performance_efficiency",JuliaParallel/DagScheduler.jl,"rectangles, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3262,0.0121,89.7036,58.9660,0.5959,0.0100,https://github.com/JuliaParallel/DagScheduler.jl/,767
boxes_and_arrows,client-server,entire,static,FPriv_factom-harmony-connect-python-sdk,y,"packages, classes, APIs, sub-systems",general,bi,dependencies,n,y,n,medium,n,y,,maintainability,FPriv/factom-harmony-connect-python-sdk,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.2003,0.0110,89.9325,60.8019,0.6538,0.0022,https://github.com/FPriv/factom-harmony-connect-python-sdk/,793
icons_and_arrows,NA,entire,dynamic,yoshixmk_remarks,y,technologies,"deployment, control_flow",uni,"control_flow, data_flow",n,y,n,high,n,n,,"functional_suitability, maintainability",yoshixmk/remarks,icons,"google, html, github, fauna, deploy",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5415,0.0167,88.9430,57.9136,0.7059,,https://github.com/yoshixmk/remarks/,815
"icons_and_arrows, boxes",client-server,part,dynamic,miztiik_aws-real-time-use-cases,y,technologies,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,functional_suitability,miztiik/aws-real-time-use-cases,"rectangles, icons",aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.0961,0.0556,17.9726,40.0518,0.1161,,https://github.com/miztiik/aws-real-time-use-cases/,640
icons_and_arrows,NA,part,dynamic,gapfish_deployer,n,"DBs, technologies",deployment,bi,control_flow,n,y,n,high,n,n,manual sketch,maintainability,gapfish/deployer,icons,NA,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,34.5462,0.0187,89.7625,53.3374,0.4029,-0.0034,https://github.com/gapfish/deployer/,1151
boxes,rest,entire,static,vinijmoura_Azure-DevOps,y,technologies,general,NA,NA,n,n,n,high,n,n,,maintainability,vinijmoura/Azure-DevOps,icons,azure,Meets Expectations,Meets Expectations,Meets Expectations,34.7480,0.0183,89.8983,56.0604,0.6026,,https://github.com/vinijmoura/Azure-DevOps/,1211
boxes_and_arrows,SOA,entire,static,OpenRoberta_robertalab-ev3dev,y,"packages, clients",connectivity,bi,communication,n,y,n,high,n,y,IOT,maintainability,OpenRoberta/robertalab-ev3dev,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.9020,0.0254,82.1209,50.7133,0.4556,0.0071,https://github.com/OpenRoberta/robertalab-ev3dev/,900
boxes_and_arrows,NA,part,static,ibm-hyperknowledge_hklib,y,"DBs, clients, packages",general,uni,dependencies,n,y,n,high,n,n,,maintainability,ibm-hyperknowledge/hklib,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.1941,0.0219,81.1939,56.8736,0.5878,-0.0060,https://github.com/ibm-hyperknowledge/hklib/,1092
icons_and_arrows,client-server,entire,dynamic,IBM_cognos-analytics-to-visualize-business-data,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,n,,functional_suitability,IBM/cognos-analytics-to-visualize-business-data,"circles, icons",cognos,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.7913,0.0102,89.8897,65.4071,0.8471,-0.0015,https://github.com/IBM/cognos-analytics-to-visualize-business-data/,922
boxes_and_arrows,client-server,entire,"static, dynamic",beston123_Tarzan,y,"sub-systems, servers, technologies, DBs",control_flow,uni,control_flow,n,y,n,high,n,y,,functional_suitability,beston123/Tarzan,"rectangles, icons","mysql, rocketmq",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6139,0.0588,17.6114,56.0662,0.0098,0.0002,https://github.com/beston123/tevent/,1123
boxes_and_arrows,NA,entire,"static, dynamic",serverdevcamp_camp4_quadcore,y,"APIs, DBs, technologies",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,serverdevcamp/camp4_quadcore,"circles, icons, rectangles","twitter, apache, cassandra",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1188,0.0156,89.8675,58.5418,0.6450,,https://github.com/serverdevcamp/camp4_quadcore/,1199
boxes_and_arrows,"rest, MVC",entire,static,heli-os_member-invitation-java-springboot,n,"packages, DBs, services",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,heli-os/member-invitation-java-springboot,"rectangles, squares","aws, redis",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.2114,0.0110,89.9211,62.8512,0.6556,-0.0012,https://github.com/heli-os/member-invitation-java-springboot/,1038
boxes_and_arrows,"microservices, layered",entire,static,itays123_partydeck,y,"DBs, services, clients",general,uni,dependencies,n,y,n,high,n,y,,maintainability,itays123/partydeck,"rectangles, squares",mongodb,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.9097,0.0285,89.8061,58.6766,0.6778,0.0012,https://github.com/itays123/partydeck/,1069
boxes_and_arrows,"client-server, publish-subscribe",entire+,static,liyangbing_rocketmq-http-gateway,y,"servers, technologies, sub-systems",connectivity,uni,communication,parameters,y,n,medium,n,y,,maintainability,liyangbing/rocketmq-http-gateway,rectangles,"rocketmq, apache",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8677,0.0143,89.9005,61.4783,0.7820,,https://github.com/liyangbing/rocketmq-http-gateway/,980
boxes,"layered, SOA",entire,static,zeromicro_zero-doc,y,"services, DBs, APIs, features",general,uni,communication,n,y,n,medium,n,y,,maintainability,zeromicro/zero-doc,rectangles,"mysql, postgresql, mongodb, clickhouse, redis, kubernetes, etcd, consul, nacos, polarismesh",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.8539,0.0181,89.7693,63.3136,0.7243,,https://github.com/zeromicro/zero-doc/,1435
icons_and_arrows,NA,entire,static,chsakell_planet-scale-azure,y,"DBs, servers","deployment, connectivity",no,communication,n,y,n,high,n,n,,flexibility,chsakell/planet-scale-azure,icons,azure,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.0844,0.0496,87.7271,39.3441,0.2106,0.0007,https://github.com/chsakell/planet-scale-azure/,981
boxes_and_arrows,pipes-and-filters,entire,dynamic,GoogleCloudPlatform_analytics-componentized-patterns,y,steps,control_flow,uni,control_flow,text,y,n,high,n,n,,functional_suitability,GoogleCloudPlatform/analytics-componentized-patterns,"rectangles, icons",google,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.1973,0.0138,89.3898,62.1890,0.7269,0.0021,https://github.com/GoogleCloudPlatform/analytics-componentized-patterns/,1575
boxes,layered,entire+,static,exmgr_GatewayXM,y,"layers, services, sub-systems, technologies",general,NA,NA,snapshots,n,n,medium,n,y,IOT,maintainability,exmgr/GatewayXM,rectangles,"java, eclipse",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,25.8539,0.0510,31.4689,42.9974,0.1138,-0.0034,https://github.com/exmgr/GatewayXM/,796
icons_and_arrows,microservices,entire,dynamic,oovk_dataengg-covid19-aws,y,"technologies, DBs, services",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,oovk/dataengg-covid19-aws,"rectangles, squares, icons",aws,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4004,0.0135,89.8025,59.4037,0.5514,,https://github.com/oovk/dataengg-covid19-aws/,787
UML,client-server,entire,static,ndsev_zswag,y,"packages, classes",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,ndsev/zswag,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.8307,0.0362,61.5238,50.5363,0.3339,,https://github.com/ndsev/zswag/,925
icons_and_arrows,smart-contracts,entire,static,shawntabrizi_Ethereum-Twitter-Bounty,y,"contracts, technologies, clients",general,"uni, bi",communication,n,y,n,medium,n,n,blockchain,maintainability,shawntabrizi/Ethereum-Twitter-Bounty,icons,"ethereum, oraclize, twitter, web3js",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.8388,0.0573,20.0088,53.5991,0.0096,,https://github.com/shawntabrizi/Ethereum-Twitter-Bounty/,1018
"boxes, icons_and_arrows",client-server,part,static,badr42_oke_A1,y,"network_components, containers","deployment, connectivity, performance",uni,communication,n,y,n,medium,n,y,,"flexibility, performance_efficiency, reliability",badr42/oke_A1,"rectangles, icons","kubernetes, oracle",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3369,0.0121,89.7124,59.2393,0.5513,0.0007,https://github.com/badr42/oke_A1/,906
boxes_and_arrows,client-server,entire,static,ev2900_OpenSearch_Dashboard_Nginx_Proxy,y,"servers, services","deployment, connectivity",bi,communication,URLs,y,n,high,n,y,,security,ev2900/OpenSearch_Dashboard_Nginx_Proxy,"rectangles, icons","nginx, aws, opensearch",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.3217,0.0121,89.4776,60.0825,0.6900,-0.0013,https://github.com/ev2900/OpenSearch_Dashboard_Nginx_Proxy/,578
boxes_and_arrows,SOA,entire+,static,AndreasM009_AadApiGatekeeper,y,"containers, APIs, services, technologies",deployment,"uni, no",communication,n,y,y,high,n,y,,"flexibility, security",AndreasM009/AadApiGatekeeper,"ellipses, icons, rectangles","azure, kubernetes",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.3924,0.0479,36.6461,44.4120,0.2347,0.0002,https://github.com/AndreasM009/AadApiGatekeeper/,1248
boxes_and_arrows,"MVI, layered",entire,"static, dynamic",kaleidot725_Draft,y,"DBs, sub-systems",general,uni,"control_flow, data_flow",n,y,n,high,n,y,,maintainability,kaleidot725/Draft,"rectangles, icons",NA,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,38.3279,0.0121,88.7087,61.7676,0.4161,,https://github.com/kaleidot725/Draft/,862
icons_and_arrows,SOA,entire+,static,Azure_AzureStack-QuickStart-Templates,y,"network_components, DBs, APIs, functions","deployment, connectivity, performance, security",uni,"data_flow, API_calls, communication",n,y,n,high,n,y,,"flexibility, security, maintainability",Azure/AzureStack-QuickStart-Templates,"rectangles, icons",azure,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8498,0.0128,89.8606,58.8096,0.5737,-0.0043,https://github.com/Azure/AzureStack-QuickStart-Templates/,1449
boxes_and_arrows,NA,entire,dynamic,Fintan-contents_case-studies,y,steps,control_flow,uni,control_flow,n,y,n,high,n,n,,"interaction_capability, functional_suitability",Fintan-contents/case-studies,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7273,0.0116,89.1108,59.4840,0.7334,-0.0014,https://github.com/Fintan-contents/case-studies/,753
"icons_and_arrows, boxes",microservices,entire,dynamic,spikecodes_stotra,y,"DBs, technologies",deployment,"uni, bi",communication,n,y,n,medium,n,y,,maintainability,spikecodes/stotra,"rectangles, squares, icons","react, aws, mongodb, cloudflare",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8194,0.0115,89.7126,63.0117,0.8085,,https://github.com/spikecodes/stotra/,1275
boxes_and_arrows,client-server,entire,static,blentle_hikarikeeper,y,"servers, DBs","deployment, connectivity",uni,communication,n,y,n,high,n,y,,flexibility,blentle/hikarikeeper,"rectangles, cylinders",rocksdb,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.0512,0.0353,68.4822,54.3008,0.4822,0.0006,https://github.com/blentle/hikarikeeper/,1466
boxes_and_arrows,event-driven,entire,dynamic,tarhses_esp-alarm-clock,n,packages,control_flow,uni,control_flow,text,y,n,medium,n,n,,"functional_suitability, reliability",tarhses/esp-alarm-clock,"rectangles, circles",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5897,0.0148,87.4290,58.6653,0.6174,,https://github.com/tarhses/esp-alarm-clock/,950
boxes_and_arrows,SOA,part,dynamic,balajich_resilience4j-helloworld,n,"services, clients, functions",control_flow,uni,communication,n,y,n,medium,n,y,,"functional_suitability, reliability",balajich/resilience4j-helloworld,"ellipses, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.0538,0.0559,28.1987,54.1536,0.0616,0.0002,https://github.com/balajich/resilience4j-helloworld/,1113
boxes_and_arrows,"hexagonal, layered",entire,static,clemgbld_blog_back_office,y,ports,connectivity,uni,communication,n,y,y,medium,n,y,,maintainability,clemgbld/blog_back_office,"rectangles, hexagons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.7976,0.0102,89.8672,62.3045,0.7528,-0.0007,https://github.com/clemgbld/blog_back_office/,986
boxes_and_arrows,layered,entire,"static, dynamic",CMU-RERC-APT_tiramisu3-pr,y,"DBs, sub-systems, classes",control_flow,"uni, bi",communication,n,y,n,medium,y,n,,"functional_suitability, maintainability",CMU-RERC-APT/tiramisu3-pr,"rectangles, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.2430,0.0244,3.0234,47.7117,0.6587,0.0002,https://github.com/CMU-RERC-APT/tiramisu3-pr/,1630
boxes_and_arrows,layered,entire,dynamic,dylanvanh_MunchOut,y,"classes, layers, APIs, DBs",data_flow,uni,communication,n,y,n,medium,n,y,,maintainability,dylanvanh/MunchOut,"rectangles, icons",mysql,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.8026,0.0129,89.0112,64.8867,0.8009,-0.0000,https://github.com/dylanvanh/MunchOut/,949
boxes,clean,entire,static,alextanhongpin_node-rest,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,alextanhongpin/node-rest,circles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.6823,0.0232,89.8312,55.3229,0.6183,0.0000,https://github.com/alextanhongpin/node-rest/,865
icons_and_arrows,client-server,part,dynamic,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,"circles, icons","watson, jupyter, tensorflow",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.0568,0.0559,7.6239,27.8993,0.0204,-0.0011,https://github.com/IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras/,565
icons_and_arrows,NA,part,dynamic,microsoft_covid19-BackToWork,y,"technologies, layers",control_flow,uni,control_flow,text,y,n,high,n,y,,"functional_suitability, maintainability",microsoft/covid19-BackToWork,icons,"azure, microsoft, twilio, powerbi",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6816,0.0147,89.3022,61.9430,0.7595,,https://github.com/microsoft/covid19-BackToWork/,1004
boxes_and_arrows,rest,part,"static, dynamic",florianhoehn_sf-apex-rest-api,y,classes,general,no,inheritance,text,y,n,low,y,n,manual sketch,maintainability,florianhoehn/sf-apex-rest-api,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.2543,0.0173,89.7266,60.9794,0.6725,-0.0000,https://github.com/florianhoehn/sf-apex-rest-api/,1154
boxes_and_arrows,client-server,part,dynamic,boot2podman_machine,y,servers,connectivity,uni,communication,n,y,n,high,n,y,,maintainability,boot2podman/machine,"ellipses, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9399,0.0160,88.7992,53.0219,0.3391,-0.0006,https://github.com/boot2podman/machine/,1120
boxes,layered,entire,static,Xsidelight_flutter_interview_questions,y,"layers, packages",general,NA,NA,n,n,n,medium,n,y,,maintainability,Xsidelight/flutter_interview_questions,rectangles,dart,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.3683,0.0340,73.3731,49.8027,0.2927,-0.0099,https://github.com/Xsidelight/flutter_interview_questions/,695
boxes,layered,entire,static,aliyun_packagist-mirror,y,"layers, coroutines",general,NA,NA,n,n,n,medium,n,y,,maintainability,aliyun/packagist-mirror,"rectangles, icons","github, composer",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.3594,0.0540,22.6818,45.3439,0.1613,0.0013,https://github.com/aliyun/packagist-mirror/,1112
boxes_and_arrows,event-driven,entire,dynamic,laziestcoder_Budget_App_JS,y,"functions, layers",control_flow,uni,control_flow,n,y,n,low,n,y,,"functional_suitability, maintainability",laziestcoder/Budget_App_JS,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.4805,0.0150,89.9266,60.1607,0.6495,,https://github.com/laziestcoder/Budget_App_JS/,657
"boxes, icons_and_arrows",NA,entire+,"static, dynamic",IBM_spectrum-protect-sppmon,y,"APIs, technologies, VMs","connectivity, control_flow",uni,"control_flow, function_calls",n,y,y,medium,n,y,,"interaction_capability, functional_suitability",IBM/spectrum-protect-sppmon,"rectangles, icons",ibm,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0772,0.0157,89.0274,57.9959,0.5550,0.0124,https://github.com/IBM/sppmon/,1548
boxes_and_arrows,rest,entire,dynamic,input-output-hk_marlowe-starter-kit,y,"packages, DBs","scheduling, control_flow",uni,function_calls,text,y,y,medium,n,y,,interaction_capability,input-output-hk/marlowe-starter-kit,rectangles,postgresql,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9287,0.0142,88.4860,58.3110,0.5759,0.0033,https://github.com/input-output-hk/marlowe-starter-kit/,1163
boxes_and_arrows,NA,entire+,"static, dynamic",eqbal_CarND_Capstone_CarX,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,eqbal/CarND_Capstone_CarX,rectangles,ros,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0632,0.0157,88.8216,60.0909,0.6606,0.0072,https://github.com/eqbal/CarND_Capstone_CarX/,825
icons_and_arrows,client-server,part,dynamic,pacmacro_pm-server-spring,y,"servers, clients","deployment, control_flow",uni,data_flow,n,y,n,high,n,n,,flexibility,pacmacro/pm-server-spring,"icons, 3d",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5485,0.0149,87.6098,57.8444,0.6889,,https://github.com/pacmacro/pm-server-spring/,1076
