Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,repo_url,summary_token_count,zero_shot_claude_3.5_sonnet_LLM_Clarity_Rating,zero_shot_claude_3.5_sonnet_LLM_Completeness_Rating,zero_shot_claude_3.5_sonnet_LLM_Consistency_Rating,zero_shot_claude_3.5_sonnet_PSNR,zero_shot_claude_3.5_sonnet_RMSE,zero_shot_claude_3.5_sonnet_SAM,zero_shot_claude_3.5_sonnet_SRE,zero_shot_claude_3.5_sonnet_SSIM,zero_shot_claude_3.5_sonnet_UIQ
boxes_and_arrows,microservices,entire,"static, dynamic",hotshot07_distributed_systems,y,"services, servers, DBs, clients",deployment,uni,"control_flow, data_flow",n,y,n,medium,y,y,,"maintainability, flexibility, interaction_capability",hotshot07/distributed_systems,"rectangles, cylinders, icons","kubernetes, react, nginx, flask",https://github.com/hotshot07/distributed_systems/,928,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.6407,0.0117,89.8880,60.2303,0.6585,-0.0011
boxes_and_arrows,layered,entire,static,fdrennan_ndexr-platform,y,sub-systems,general,bi,dependencies,n,y,n,high,n,y,,maintainability,fdrennan/ndexr-platform,"rectangles, squares, icons",NA,https://github.com/fdrennan/ndexr-platform/,1036,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.7005,0.0582,7.3586,26.5470,0.0114,0.0015
boxes,client-server,entire,"static, dynamic",wso2_chef-apim,y,"servers, APIs, sub-systems, data",connectivity,uni,function_calls,n,y,n,medium,n,y,,"functional_suitability, maintainability, reliability",wso2/chef-apim,"rectangles, squares, icons",NA,https://github.com/wso2/chef-apim/,1005,,,,NA,NA,NA,NA,NA,NA
boxes_and_arrows,MVC,part,static,ra1028_VueFlux,y,classes,general,uni,dependencies,n,y,n,low,n,y,,maintainability,ra1028/VueFlux,rectangles,NA,https://github.com/ra1028/VueFlux/,976,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.4549,0.0599,6.6498,24.8500,0.0274,0.0001
boxes_and_arrows,client-server,entire,static,btcpayserver_btcpayserver-doc,y,"packages, containers, functions, devices",deployment,uni,dependencies,parameters,y,n,low,y,n,,maintainability,btcpayserver/btcpayserver-doc,rectangles,docker,https://github.com/btcpayserver/btcpayserver-doc/,1111,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.6971,0.0292,81.4999,54.9769,0.5525,0.0014
boxes_and_arrows,NA,part,static,ingeniala_heybluekata,y,quality-attributes,general,"uni, no",dependencies,n,y,n,medium,n,y,quality attributes,"security, maintainability, flexibility, performance_efficiency, interaction_capability",ingeniala/heybluekata,rectangles,NA,https://github.com/ingeniala/heybluekata/,1200,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4959,0.0150,88.7069,60.2044,0.6615,-0.0015
boxes_and_arrows,"layered, SOA",entire+,static,WeBankFinTech_DeFiBus,y,"DBs, clients, services, layers","deployment, connectivity","uni, bi",data_flow,text,y,n,high,n,y,,"maintainability, flexibility, performance_efficiency",WeBankFinTech/DeFiBus,"rectangles, cylinders, ellipses, squares",NA,https://github.com/WeBankFinTech/DeFiBus/,1198,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9524,0.0142,89.3118,58.3237,0.5340,-0.0008
icons_and_arrows,event-driven,entire,"static, dynamic",rubenbupe_proyectos-data,y,technologies,"deployment, connectivity",uni,communication,URLs,y,y,high,n,y,,"maintainability, security",rubenbupe/proyectos-data,"rectangles, icons","mongodb, rabbitmq, grafana, kubernetes, prometheus",https://github.com/rubenbupe/proyectos-data/,1119,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.9105,0.0568,12.6588,33.7479,0.0321,0.0004
"icons_and_arrows, boxes",client-server,entire,static,open-risk_Open_Risk_API,y,servers,deployment,"uni, bi","data_flow, communication",n,y,n,high,n,y,,maintainability,open-risk/Open_Risk_API,"rectangles, icons",NA,https://github.com/open-risk/Open_Risk_API/,903,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4590,0.0119,89.5903,58.8055,0.6611,0.0049
boxes_and_arrows,"event-driven, MVC",entire,"static, dynamic",redbadger_crux,y,"APIs, clients, sub-systems","connectivity, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",redbadger/crux,"rectangles, cylinders, ellipses",NA,https://github.com/redbadger/crux/,1704,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA
boxes_and_arrows,"client-server, microservices",entire,static,sup2is_e-commerce-project,y,"DBs, services, servers, APIs","deployment, connectivity","uni, no",communication,n,y,n,high,n,n,,maintainability,sup2is/e-commerce-project,"circles, rectangles, cylinders","redis, nginx, eureka, zipkin",https://github.com/sup2is/e-commerce-project/,1226,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.0635,0.0157,89.6812,59.7679,0.5924,-0.0014
icons_and_arrows,client-server,entire,dynamic,AhmedAbdelGawadFarag_Shams-Personal-Assistant,y,"APIs, servers, clients",data_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,AhmedAbdelGawadFarag/Shams-Personal-Assistant,icons,NA,https://github.com/AhmedAbdelGawadFarag/Shams-Personal-Assistant/,1165,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8995,0.0114,89.9498,59.7529,0.6693,0.0005
boxes_and_arrows,smart-contracts,part,dynamic,Nishu0_anime_nft_marketplace,y,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,blockchain,"functional_suitability, interaction_capability",Nishu0/anime_nft_marketplace,"rectangles, diamonds",NA,https://github.com/Nishu0/anime_nft_marketplace/,888,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4786,0.0119,89.9299,58.5175,0.5748,0.0161
icons_and_arrows,client-server,entire+,"static, dynamic",ertis-research_lwm2m-blockchain,y,"clients, servers, APIs, network_components","connectivity, control_flow","uni, bi","control_flow, communication",text,y,n,high,n,n,blockchain,"security, functional_suitability",ertis-research/lwm2m-blockchain,"circles, icons",NA,https://github.com/ertis-research/lwm2m-blockchain/,1085,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8031,0.0162,87.7039,60.6903,0.7100,-0.0007
boxes_and_arrows,"microservices, event-driven",entire,dynamic,geovanegodoi_MicroServicesPOC,y,"DBs, services, bus, clients, APIs","deployment, control_flow","uni, bi, bus","control_flow, data_flow",n,y,n,medium,n,y,,"maintainability, interaction_capability",geovanegodoi/MicroServicesPOC,"rectangles, cylinders, hexagons, icons, squares","docker, rabbitmq, mongodb",https://github.com/geovanegodoi/MicroServicesPOC/,894,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5011,0.0168,89.2449,59.4725,0.5689,0.0027
boxes_and_arrows,NA,entire+,static,gpsnmeajp_VirtualMotionTracker,y,"clients, sub-systems, technologies","deployment, connectivity","uni, bi",communication,n,y,y,high,n,y,,maintainability,gpsnmeajp/VirtualMotionTracker,rectangles,"openvr, c++, c#",https://github.com/gpsnmeajp/VirtualMotionTracker/,1120,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.3309,0.0271,89.8249,54.7976,0.6147,-0.0023
boxes,layered,entire,static,intel_edge-insights-vision,y,"hardware_components, technologies, layers",general,NA,NA,n,n,n,high,n,y,,maintainability,intel/edge-insights-vision,"rectangles, squares","docker, jupyter, intel, linux, windows",https://github.com/intel/edge-insights-vision/,1070,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.4995,0.0422,89.3017,47.7202,0.3140,0.0029
boxes,event-driven,part,static,mendhak_gpslogger,y,"bus, services, clients",connectivity,"bus, uni, bi",communication,n,n,n,medium,n,y,,maintainability,mendhak/gpslogger,"rectangles, icons",NA,https://github.com/mendhak/gpslogger/,1208,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.8635,0.0181,84.8455,54.9409,0.5182,0.0042
boxes_and_arrows,NA,entire+,dynamic,mrubash1_trainspotting,y,"hardware_components, sub-systems, technologies",control_flow,uni,control_flow,n,y,n,high,n,y,IOT,functional_suitability,mrubash1/trainspotting,"rectangles, squares, icons","jupyter, tensorflow",https://github.com/mrubash1/trainspotting/,799,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.6772,0.0232,83.0003,58.3806,0.6482,0.0080
icons_and_arrows,client-server,entire,dynamic,JessNah_BeeGreen,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,y,,"functional_suitability, interaction_capability",JessNah/BeeGreen,"circles, icons, rectangles","react, typescript, nodejs, ibm",https://github.com/JessNah/BeeGreen/,1004,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.5763,0.0418,49.6035,53.6127,0.4273,-0.0012
boxes_and_arrows,NA,entire,static,JuliaParallel_DagScheduler.jl,n,sub-systems,"data_flow, performance",bi,data_flow,n,y,n,high,n,y,,"flexibility, performance_efficiency",JuliaParallel/DagScheduler.jl,"rectangles, cylinders",NA,https://github.com/JuliaParallel/DagScheduler.jl/,767,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0324,0.0125,89.8300,58.8193,0.5425,-0.0017
boxes_and_arrows,client-server,entire,static,FPriv_factom-harmony-connect-python-sdk,y,"packages, classes, APIs, sub-systems",general,bi,dependencies,n,y,n,medium,n,y,,maintainability,FPriv/factom-harmony-connect-python-sdk,rectangles,NA,https://github.com/FPriv/factom-harmony-connect-python-sdk/,793,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.9154,0.0113,89.9235,60.5950,0.6298,0.0051
icons_and_arrows,NA,entire,dynamic,yoshixmk_remarks,y,technologies,"deployment, control_flow",uni,"control_flow, data_flow",n,y,n,high,n,n,,"functional_suitability, maintainability",yoshixmk/remarks,icons,"google, html, github, fauna, deploy",https://github.com/yoshixmk/remarks/,815,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3968,0.0151,88.9795,58.3222,0.6414,-0.0008
"icons_and_arrows, boxes",client-server,part,dynamic,miztiik_aws-real-time-use-cases,y,technologies,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,functional_suitability,miztiik/aws-real-time-use-cases,"rectangles, icons",aws,https://github.com/miztiik/aws-real-time-use-cases/,640,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.3048,0.0543,17.9649,40.1559,0.0978,0.0051
icons_and_arrows,NA,part,dynamic,gapfish_deployer,n,"DBs, technologies",deployment,bi,control_flow,n,y,n,high,n,n,manual sketch,maintainability,gapfish/deployer,icons,NA,https://github.com/gapfish/deployer/,1151,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.3131,0.0192,89.7817,53.2551,0.4077,-0.0033
boxes,rest,entire,static,vinijmoura_Azure-DevOps,y,technologies,general,NA,NA,n,n,n,high,n,n,,maintainability,vinijmoura/Azure-DevOps,icons,azure,https://github.com/vinijmoura/Azure-DevOps/,1211,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,34.4603,0.0189,89.9029,55.8961,0.5587,0.0004
boxes_and_arrows,SOA,entire,static,OpenRoberta_robertalab-ev3dev,y,"packages, clients",connectivity,bi,communication,n,y,n,high,n,y,IOT,maintainability,OpenRoberta/robertalab-ev3dev,rectangles,NA,https://github.com/OpenRoberta/robertalab-ev3dev/,900,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,32.0280,0.0250,82.1072,50.7525,0.4634,0.0007
boxes_and_arrows,NA,part,static,ibm-hyperknowledge_hklib,y,"DBs, clients, packages",general,uni,dependencies,n,y,n,high,n,n,,maintainability,ibm-hyperknowledge/hklib,rectangles,NA,https://github.com/ibm-hyperknowledge/hklib/,1092,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.4906,0.0212,81.2389,57.0220,0.6358,0.0028
icons_and_arrows,client-server,entire,dynamic,IBM_cognos-analytics-to-visualize-business-data,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,n,,functional_suitability,IBM/cognos-analytics-to-visualize-business-data,"circles, icons",cognos,https://github.com/IBM/cognos-analytics-to-visualize-business-data/,922,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.3628,0.0096,89.9580,65.6932,0.8481,-0.0001
boxes_and_arrows,client-server,entire,"static, dynamic",beston123_Tarzan,y,"sub-systems, servers, technologies, DBs",control_flow,uni,control_flow,n,y,n,high,n,y,,functional_suitability,beston123/Tarzan,"rectangles, icons","mysql, rocketmq",https://github.com/beston123/tevent/,1123,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3355,0.0136,89.3647,62.4434,0.7600,0.0008
boxes_and_arrows,NA,entire,"static, dynamic",serverdevcamp_camp4_quadcore,y,"APIs, DBs, technologies",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,serverdevcamp/camp4_quadcore,"circles, icons, rectangles","twitter, apache, cassandra",https://github.com/serverdevcamp/camp4_quadcore/,1199,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.1991,0.0174,89.8997,57.8722,0.6370,-0.0056
boxes_and_arrows,"rest, MVC",entire,static,heli-os_member-invitation-java-springboot,n,"packages, DBs, services",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,heli-os/member-invitation-java-springboot,"rectangles, squares","aws, redis",https://github.com/heli-os/member-invitation-java-springboot/,1038,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.6635,0.0104,89.8216,63.0772,0.7052,0.0016
boxes_and_arrows,"microservices, layered",entire,static,itays123_partydeck,y,"DBs, services, clients",general,uni,dependencies,n,y,n,high,n,y,,maintainability,itays123/partydeck,"rectangles, squares",mongodb,https://github.com/itays123/partydeck/,1069,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,31.1315,0.0278,89.8163,58.7655,0.6566,0.0005
boxes_and_arrows,"client-server, publish-subscribe",entire+,static,liyangbing_rocketmq-http-gateway,y,"servers, technologies, sub-systems",connectivity,uni,communication,parameters,y,n,medium,n,y,,maintainability,liyangbing/rocketmq-http-gateway,rectangles,"rocketmq, apache",https://github.com/liyangbing/rocketmq-http-gateway/,980,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8618,0.0144,89.9207,61.4766,0.7745,0.0009
boxes,"layered, SOA",entire,static,zeromicro_zero-doc,y,"services, DBs, APIs, features",general,uni,communication,n,y,n,medium,n,y,,maintainability,zeromicro/zero-doc,rectangles,"mysql, postgresql, mongodb, clickhouse, redis, kubernetes, etcd, consul, nacos, polarismesh",https://github.com/zeromicro/zero-doc/,1435,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3849,0.0170,89.8491,63.5840,0.7512,0.0015
icons_and_arrows,NA,entire,static,chsakell_planet-scale-azure,y,"DBs, servers","deployment, connectivity",no,communication,n,y,n,high,n,n,,flexibility,chsakell/planet-scale-azure,icons,azure,https://github.com/chsakell/planet-scale-azure/,981,,,,NA,NA,NA,NA,NA,NA
boxes_and_arrows,pipes-and-filters,entire,dynamic,GoogleCloudPlatform_analytics-componentized-patterns,y,steps,control_flow,uni,control_flow,text,y,n,high,n,n,,functional_suitability,GoogleCloudPlatform/analytics-componentized-patterns,"rectangles, icons",google,https://github.com/GoogleCloudPlatform/analytics-componentized-patterns/,1575,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9263,0.0142,89.3837,62.0546,0.6718,-0.0026
boxes,layered,entire+,static,exmgr_GatewayXM,y,"layers, services, sub-systems, technologies",general,NA,NA,snapshots,n,n,medium,n,y,IOT,maintainability,exmgr/GatewayXM,rectangles,"java, eclipse",https://github.com/exmgr/GatewayXM/,796,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,25.7363,0.0517,31.4660,42.9387,0.1035,-0.0024
icons_and_arrows,microservices,entire,dynamic,oovk_dataengg-covid19-aws,y,"technologies, DBs, services",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,oovk/dataengg-covid19-aws,"rectangles, squares, icons",aws,https://github.com/oovk/dataengg-covid19-aws/,787,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3584,0.0152,89.2913,58.8818,0.5212,-0.0008
UML,client-server,entire,static,ndsev_zswag,y,"packages, classes",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,ndsev/zswag,rectangles,NA,https://github.com/ndsev/zswag/,925,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.8916,0.0359,61.5432,50.5671,0.3669,-0.0044
icons_and_arrows,smart-contracts,entire,static,shawntabrizi_Ethereum-Twitter-Bounty,y,"contracts, technologies, clients",general,"uni, bi",communication,n,y,n,medium,n,n,blockchain,maintainability,shawntabrizi/Ethereum-Twitter-Bounty,icons,"ethereum, oraclize, twitter, web3js",https://github.com/shawntabrizi/Ethereum-Twitter-Bounty/,1018,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.1999,0.0155,89.2244,59.2920,0.6662,0.0060
"boxes, icons_and_arrows",client-server,part,static,badr42_oke_A1,y,"network_components, containers","deployment, connectivity, performance",uni,communication,n,y,n,medium,n,y,,"flexibility, performance_efficiency, reliability",badr42/oke_A1,"rectangles, icons","kubernetes, oracle",https://github.com/badr42/oke_A1/,906,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.3376,0.0121,89.7498,59.2454,0.5531,-0.0017
boxes_and_arrows,client-server,entire,static,ev2900_OpenSearch_Dashboard_Nginx_Proxy,y,"servers, services","deployment, connectivity",bi,communication,URLs,y,n,high,n,y,,security,ev2900/OpenSearch_Dashboard_Nginx_Proxy,"rectangles, icons","nginx, aws, opensearch",https://github.com/ev2900/OpenSearch_Dashboard_Nginx_Proxy/,578,,,,NA,NA,NA,NA,NA,NA
boxes_and_arrows,SOA,entire+,static,AndreasM009_AadApiGatekeeper,y,"containers, APIs, services, technologies",deployment,"uni, no",communication,n,y,y,high,n,y,,"flexibility, security",AndreasM009/AadApiGatekeeper,"ellipses, icons, rectangles","azure, kubernetes",https://github.com/AndreasM009/AadApiGatekeeper/,1248,,,,NA,NA,NA,NA,NA,NA
boxes_and_arrows,"MVI, layered",entire,"static, dynamic",kaleidot725_Draft,y,"DBs, sub-systems",general,uni,"control_flow, data_flow",n,y,n,high,n,y,,maintainability,kaleidot725/Draft,"rectangles, icons",NA,https://github.com/kaleidot725/Draft/,862,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5848,0.0132,88.5771,61.3912,0.3917,-0.0021
icons_and_arrows,SOA,entire+,static,Azure_AzureStack-QuickStart-Templates,y,"network_components, DBs, APIs, functions","deployment, connectivity, performance, security",uni,"data_flow, API_calls, communication",n,y,n,high,n,y,,"flexibility, security, maintainability",Azure/AzureStack-QuickStart-Templates,"rectangles, icons",azure,https://github.com/Azure/AzureStack-QuickStart-Templates/,1449,,,,NA,NA,NA,NA,NA,NA
boxes_and_arrows,NA,entire,dynamic,Fintan-contents_case-studies,y,steps,control_flow,uni,control_flow,n,y,n,high,n,n,,"interaction_capability, functional_suitability",Fintan-contents/case-studies,"rectangles, icons",NA,https://github.com/Fintan-contents/case-studies/,753,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5694,0.0132,89.1076,58.9051,0.6600,0.0009
"icons_and_arrows, boxes",microservices,entire,dynamic,spikecodes_stotra,y,"DBs, technologies",deployment,"uni, bi",communication,n,y,n,medium,n,y,,maintainability,spikecodes/stotra,"rectangles, squares, icons","react, aws, mongodb, cloudflare",https://github.com/spikecodes/stotra/,1275,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6647,0.0117,89.7134,62.9342,0.7936,-0.0007
boxes_and_arrows,client-server,entire,static,blentle_hikarikeeper,y,"servers, DBs","deployment, connectivity",uni,communication,n,y,n,high,n,y,,flexibility,blentle/hikarikeeper,"rectangles, cylinders",rocksdb,https://github.com/blentle/hikarikeeper/,1466,,,,NA,NA,NA,NA,NA,NA
boxes_and_arrows,event-driven,entire,dynamic,tarhses_esp-alarm-clock,n,packages,control_flow,uni,control_flow,text,y,n,medium,n,n,,"functional_suitability, reliability",tarhses/esp-alarm-clock,"rectangles, circles",NA,https://github.com/tarhses/esp-alarm-clock/,950,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2926,0.0153,87.4058,58.5167,0.5997,0.0033
boxes_and_arrows,SOA,part,dynamic,balajich_resilience4j-helloworld,n,"services, clients, functions",control_flow,uni,communication,n,y,n,medium,n,y,,"functional_suitability, reliability",balajich/resilience4j-helloworld,"ellipses, squares",NA,https://github.com/balajich/resilience4j-helloworld/,1113,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0559,0.0157,87.8895,59.6485,0.5376,-0.0036
boxes_and_arrows,"hexagonal, layered",entire,static,clemgbld_blog_back_office,y,ports,connectivity,uni,communication,n,y,y,medium,n,y,,maintainability,clemgbld/blog_back_office,"rectangles, hexagons",NA,https://github.com/clemgbld/blog_back_office/,986,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8272,0.0114,89.8693,61.9216,0.7505,-0.0015
boxes_and_arrows,layered,entire,"static, dynamic",CMU-RERC-APT_tiramisu3-pr,y,"DBs, sub-systems, classes",control_flow,"uni, bi",communication,n,y,n,medium,y,n,,"functional_suitability, maintainability",CMU-RERC-APT/tiramisu3-pr,"rectangles, cylinders",NA,https://github.com/CMU-RERC-APT/tiramisu3-pr/,1630,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.3256,0.0542,18.8960,44.2425,0.1574,0.0006
boxes_and_arrows,layered,entire,dynamic,dylanvanh_MunchOut,y,"classes, layers, APIs, DBs",data_flow,uni,communication,n,y,n,medium,n,y,,maintainability,dylanvanh/MunchOut,"rectangles, icons",mysql,https://github.com/dylanvanh/MunchOut/,949,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7666,0.0115,89.0483,65.3743,0.8391,-0.0020
boxes,clean,entire,static,alextanhongpin_node-rest,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,alextanhongpin/node-rest,circles,NA,https://github.com/alextanhongpin/node-rest/,865,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.7711,0.0230,89.8682,55.5155,0.6894,0.0013
icons_and_arrows,client-server,part,dynamic,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,"circles, icons","watson, jupyter, tensorflow",https://github.com/IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras/,565,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6947,0.0582,7.6227,27.7126,0.0182,-0.0028
icons_and_arrows,NA,part,dynamic,microsoft_covid19-BackToWork,y,"technologies, layers",control_flow,uni,control_flow,text,y,n,high,n,y,,"functional_suitability, maintainability",microsoft/covid19-BackToWork,icons,"azure, microsoft, twilio, powerbi",https://github.com/microsoft/covid19-BackToWork/,1004,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9824,0.0142,89.2984,62.0730,0.7324,-0.0000
boxes_and_arrows,rest,part,"static, dynamic",florianhoehn_sf-apex-rest-api,y,classes,general,no,inheritance,text,y,n,low,y,n,manual sketch,maintainability,florianhoehn/sf-apex-rest-api,rectangles,NA,https://github.com/florianhoehn/sf-apex-rest-api/,1154,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.6381,0.0165,89.8283,61.1782,0.6999,0.0012
boxes_and_arrows,client-server,part,dynamic,boot2podman_machine,y,servers,connectivity,uni,communication,n,y,n,high,n,y,,maintainability,boot2podman/machine,"ellipses, squares",NA,https://github.com/boot2podman/machine/,1120,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0325,0.0158,88.9085,53.3343,0.5001,0.0053
boxes,layered,entire,static,Xsidelight_flutter_interview_questions,y,"layers, packages",general,NA,NA,n,n,n,medium,n,y,,maintainability,Xsidelight/flutter_interview_questions,rectangles,dart,https://github.com/Xsidelight/flutter_interview_questions/,695,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.4844,0.0336,73.3643,49.8614,0.3003,0.0070
boxes,layered,entire,static,aliyun_packagist-mirror,y,"layers, coroutines",general,NA,NA,n,n,n,medium,n,y,,maintainability,aliyun/packagist-mirror,"rectangles, icons","github, composer",https://github.com/aliyun/packagist-mirror/,1112,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.4470,0.0534,22.6811,45.3915,0.1580,0.0001
boxes_and_arrows,event-driven,entire,dynamic,laziestcoder_Budget_App_JS,y,"functions, layers",control_flow,uni,control_flow,n,y,n,low,n,y,,"functional_suitability, maintainability",laziestcoder/Budget_App_JS,rectangles,NA,https://github.com/laziestcoder/Budget_App_JS/,657,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1600,0.0139,89.9345,60.4935,0.6636,0.0015
"boxes, icons_and_arrows",NA,entire+,"static, dynamic",IBM_spectrum-protect-sppmon,y,"APIs, technologies, VMs","connectivity, control_flow",uni,"control_flow, function_calls",n,y,y,medium,n,y,,"interaction_capability, functional_suitability",IBM/spectrum-protect-sppmon,"rectangles, icons",ibm,https://github.com/IBM/sppmon/,1548,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.5321,0.0149,89.0922,58.2311,0.5953,-0.0042
boxes_and_arrows,rest,entire,dynamic,input-output-hk_marlowe-starter-kit,y,"packages, DBs","scheduling, control_flow",uni,function_calls,text,y,y,medium,n,y,,interaction_capability,input-output-hk/marlowe-starter-kit,rectangles,postgresql,https://github.com/input-output-hk/marlowe-starter-kit/,1163,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8759,0.0143,88.5039,58.2834,0.5723,-0.0036
boxes_and_arrows,NA,entire+,"static, dynamic",eqbal_CarND_Capstone_CarX,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,eqbal/CarND_Capstone_CarX,rectangles,ros,https://github.com/eqbal/CarND_Capstone_CarX/,825,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.1095,0.0139,88.8675,60.6770,0.7264,0.0017
icons_and_arrows,client-server,part,dynamic,pacmacro_pm-server-spring,y,"servers, clients","deployment, control_flow",uni,data_flow,n,y,n,high,n,n,,flexibility,pacmacro/pm-server-spring,"icons, 3d",NA,https://github.com/pacmacro/pm-server-spring/,1076,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1360,0.0139,87.6462,58.1438,0.6922,-0.0008
icons_and_arrows,"pipes-and-filters, SOA",entire+,dynamic,ruoccofabrizio_azure-open-ai-embeddings-qna,y,data,"data_flow, control_flow",uni,data_flow,text,y,n,medium,n,n,,functional_suitability,ruoccofabrizio/azure-open-ai-embeddings-qna,icons,azure,https://github.com/ruoccofabrizio/azure-open-ai-embeddings-qna/,868,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0324,0.0158,87.8715,59.3300,0.6645,-0.0010
