Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,fewShot_claude_LLM_Clarity_Rating,fewShot_claude_LLM_Completeness_Rating,fewShot_claude_LLM_Consistency_Rating,fewShot_claude_PSNR,fewShot_claude_RMSE,fewShot_claude_SAM,fewShot_claude_SRE,fewShot_claude_SSIM,fewShot_claude_UIQ,repo_url,summary_token_count
boxes_and_arrows,microservices,entire,"static, dynamic",hotshot07_distributed_systems,y,"services, servers, DBs, clients",deployment,uni,"control_flow, data_flow",n,y,n,medium,y,y,,"maintainability, flexibility, interaction_capability",hotshot07/distributed_systems,"rectangles, cylinders, icons","kubernetes, react, nginx, flask",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,39.0126,0.0112,89.8394,60.4174,0.6858,0.0001,https://github.com/hotshot07/distributed_systems/,928
boxes_and_arrows,layered,entire,static,fdrennan_ndexr-platform,y,sub-systems,general,bi,dependencies,n,y,n,high,n,y,,maintainability,fdrennan/ndexr-platform,"rectangles, squares, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.9709,0.0564,7.3599,26.6732,0.0128,0.0004,https://github.com/fdrennan/ndexr-platform/,1036
boxes,client-server,entire,"static, dynamic",wso2_chef-apim,y,"servers, APIs, sub-systems, data",connectivity,uni,function_calls,n,y,n,medium,n,y,,"functional_suitability, maintainability, reliability",wso2/chef-apim,"rectangles, squares, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.7531,0.0230,89.8125,55.8043,0.6055,-0.0019,https://github.com/wso2/chef-apim/,1005
boxes_and_arrows,MVC,part,static,ra1028_VueFlux,y,classes,general,uni,dependencies,n,y,n,low,n,y,,maintainability,ra1028/VueFlux,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.4997,0.0596,6.6478,24.8735,0.0247,0.0004,https://github.com/ra1028/VueFlux/,976
boxes_and_arrows,client-server,entire,static,btcpayserver_btcpayserver-doc,y,"packages, containers, functions, devices",deployment,uni,dependencies,parameters,y,n,low,y,n,,maintainability,btcpayserver/btcpayserver-doc,rectangles,docker,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.8434,0.0287,81.5080,55.0523,0.5625,-0.0001,https://github.com/btcpayserver/btcpayserver-doc/,1111
boxes_and_arrows,NA,part,static,ingeniala_heybluekata,y,quality-attributes,general,"uni, no",dependencies,n,y,n,medium,n,y,quality attributes,"security, maintainability, flexibility, performance_efficiency, interaction_capability",ingeniala/heybluekata,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1716,0.0123,88.6340,60.9514,0.6425,0.0029,https://github.com/ingeniala/heybluekata/,1200
boxes_and_arrows,"layered, SOA",entire+,static,WeBankFinTech_DeFiBus,y,"DBs, clients, services, layers","deployment, connectivity","uni, bi",data_flow,text,y,n,high,n,y,,"maintainability, flexibility, performance_efficiency",WeBankFinTech/DeFiBus,"rectangles, cylinders, ellipses, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0266,0.0141,89.3238,58.4221,0.5873,0.0006,https://github.com/WeBankFinTech/DeFiBus/,1198
icons_and_arrows,event-driven,entire,"static, dynamic",rubenbupe_proyectos-data,y,technologies,"deployment, connectivity",uni,communication,URLs,y,y,high,n,y,,"maintainability, security",rubenbupe/proyectos-data,"rectangles, icons","mongodb, rabbitmq, grafana, kubernetes, prometheus",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,24.8073,0.0575,12.6603,33.6991,0.0299,-0.0005,https://github.com/rubenbupe/proyectos-data/,1119
"icons_and_arrows, boxes",client-server,entire,static,open-risk_Open_Risk_API,y,servers,deployment,"uni, bi","data_flow, communication",n,y,n,high,n,y,,maintainability,open-risk/Open_Risk_API,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5510,0.0118,89.6040,58.8545,0.6399,0.0002,https://github.com/open-risk/Open_Risk_API/,903
boxes_and_arrows,"event-driven, MVC",entire,"static, dynamic",redbadger_crux,y,"APIs, clients, sub-systems","connectivity, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",redbadger/crux,"rectangles, cylinders, ellipses",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/redbadger/crux/,1704
boxes_and_arrows,"client-server, microservices",entire,static,sup2is_e-commerce-project,y,"DBs, services, servers, APIs","deployment, connectivity","uni, no",communication,n,y,n,high,n,n,,maintainability,sup2is/e-commerce-project,"circles, rectangles, cylinders","redis, nginx, eureka, zipkin",,,,NA,NA,NA,NA,NA,NA,https://github.com/sup2is/e-commerce-project/,1226
icons_and_arrows,client-server,entire,dynamic,AhmedAbdelGawadFarag_Shams-Personal-Assistant,y,"APIs, servers, clients",data_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,AhmedAbdelGawadFarag/Shams-Personal-Assistant,icons,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.6839,0.0116,89.9098,59.6353,0.7218,-0.0026,https://github.com/AhmedAbdelGawadFarag/Shams-Personal-Assistant/,1165
boxes_and_arrows,smart-contracts,part,dynamic,Nishu0_anime_nft_marketplace,y,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,blockchain,"functional_suitability, interaction_capability",Nishu0/anime_nft_marketplace,"rectangles, diamonds",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.1355,0.0110,89.8951,58.8824,0.6014,-0.0031,https://github.com/Nishu0/anime_nft_marketplace/,888
icons_and_arrows,client-server,entire+,"static, dynamic",ertis-research_lwm2m-blockchain,y,"clients, servers, APIs, network_components","connectivity, control_flow","uni, bi","control_flow, communication",text,y,n,high,n,n,blockchain,"security, functional_suitability",ertis-research/lwm2m-blockchain,"circles, icons",NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.2659,0.0154,87.7305,60.9201,0.7555,-0.0000,https://github.com/ertis-research/lwm2m-blockchain/,1085
boxes_and_arrows,"microservices, event-driven",entire,dynamic,geovanegodoi_MicroServicesPOC,y,"DBs, services, bus, clients, APIs","deployment, control_flow","uni, bi, bus","control_flow, data_flow",n,y,n,medium,n,y,,"maintainability, interaction_capability",geovanegodoi/MicroServicesPOC,"rectangles, cylinders, hexagons, icons, squares","docker, rabbitmq, mongodb",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.0853,0.0157,89.2657,59.7687,0.6767,-0.0013,https://github.com/geovanegodoi/MicroServicesPOC/,894
boxes_and_arrows,NA,entire+,static,gpsnmeajp_VirtualMotionTracker,y,"clients, sub-systems, technologies","deployment, connectivity","uni, bi",communication,n,y,y,high,n,y,,maintainability,gpsnmeajp/VirtualMotionTracker,rectangles,"openvr, c++, c#",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.3123,0.0272,89.7793,54.7779,0.5600,-0.0014,https://github.com/gpsnmeajp/VirtualMotionTracker/,1120
boxes,layered,entire,static,intel_edge-insights-vision,y,"hardware_components, technologies, layers",general,NA,NA,n,n,n,high,n,y,,maintainability,intel/edge-insights-vision,"rectangles, squares","docker, jupyter, intel, linux, windows",,,,NA,NA,NA,NA,NA,NA,https://github.com/intel/edge-insights-vision/,1070
boxes,event-driven,part,static,mendhak_gpslogger,y,"bus, services, clients",connectivity,"bus, uni, bi",communication,n,n,n,medium,n,y,,maintainability,mendhak/gpslogger,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.0236,0.0177,84.8299,55.0211,0.5332,0.0018,https://github.com/mendhak/gpslogger/,1208
boxes_and_arrows,NA,entire+,dynamic,mrubash1_trainspotting,y,"hardware_components, sub-systems, technologies",control_flow,uni,control_flow,n,y,n,high,n,y,IOT,functional_suitability,mrubash1/trainspotting,"rectangles, squares, icons","jupyter, tensorflow",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.0749,0.0222,82.6465,58.5861,0.6989,0.0017,https://github.com/mrubash1/trainspotting/,799
icons_and_arrows,client-server,entire,dynamic,JessNah_BeeGreen,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,y,,"functional_suitability, interaction_capability",JessNah/BeeGreen,"circles, icons, rectangles","react, typescript, nodejs, ibm",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.8652,0.0404,49.5517,53.7585,0.4240,0.0003,https://github.com/JessNah/BeeGreen/,1004
boxes_and_arrows,NA,entire,static,JuliaParallel_DagScheduler.jl,n,sub-systems,"data_flow, performance",bi,data_flow,n,y,n,high,n,y,,"flexibility, performance_efficiency",JuliaParallel/DagScheduler.jl,"rectangles, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9889,0.0126,89.8356,58.8381,0.6192,-0.0022,https://github.com/JuliaParallel/DagScheduler.jl/,767
boxes_and_arrows,client-server,entire,static,FPriv_factom-harmony-connect-python-sdk,y,"packages, classes, APIs, sub-systems",general,bi,dependencies,n,y,n,medium,n,y,,maintainability,FPriv/factom-harmony-connect-python-sdk,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,38.1338,0.0124,89.9018,60.0995,0.5945,0.0076,https://github.com/FPriv/factom-harmony-connect-python-sdk/,793
icons_and_arrows,NA,entire,dynamic,yoshixmk_remarks,y,technologies,"deployment, control_flow",uni,"control_flow, data_flow",n,y,n,high,n,n,,"functional_suitability, maintainability",yoshixmk/remarks,icons,"google, html, github, fauna, deploy",,,,NA,NA,NA,NA,NA,NA,https://github.com/yoshixmk/remarks/,815
"icons_and_arrows, boxes",client-server,part,dynamic,miztiik_aws-real-time-use-cases,y,technologies,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,functional_suitability,miztiik/aws-real-time-use-cases,"rectangles, icons",aws,,,,NA,NA,NA,NA,NA,NA,https://github.com/miztiik/aws-real-time-use-cases/,640
icons_and_arrows,NA,part,dynamic,gapfish_deployer,n,"DBs, technologies",deployment,bi,control_flow,n,y,n,high,n,n,manual sketch,maintainability,gapfish/deployer,icons,NA,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,34.6861,0.0184,89.7631,53.4361,0.4351,-0.0041,https://github.com/gapfish/deployer/,1151
boxes,rest,entire,static,vinijmoura_Azure-DevOps,y,technologies,general,NA,NA,n,n,n,high,n,n,,maintainability,vinijmoura/Azure-DevOps,icons,azure,,,,NA,NA,NA,NA,NA,NA,https://github.com/vinijmoura/Azure-DevOps/,1211
boxes_and_arrows,SOA,entire,static,OpenRoberta_robertalab-ev3dev,y,"packages, clients",connectivity,bi,communication,n,y,n,high,n,y,IOT,maintainability,OpenRoberta/robertalab-ev3dev,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.8493,0.0256,82.1357,50.6847,0.5043,0.0027,https://github.com/OpenRoberta/robertalab-ev3dev/,900
boxes_and_arrows,NA,part,static,ibm-hyperknowledge_hklib,y,"DBs, clients, packages",general,uni,dependencies,n,y,n,high,n,n,,maintainability,ibm-hyperknowledge/hklib,rectangles,NA,,,,NA,NA,NA,NA,NA,NA,https://github.com/ibm-hyperknowledge/hklib/,1092
icons_and_arrows,client-server,entire,dynamic,IBM_cognos-analytics-to-visualize-business-data,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,n,,functional_suitability,IBM/cognos-analytics-to-visualize-business-data,"circles, icons",cognos,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,41.3833,0.0085,89.9374,66.2036,0.8790,0.0003,https://github.com/IBM/cognos-analytics-to-visualize-business-data/,922
boxes_and_arrows,client-server,entire,"static, dynamic",beston123_Tarzan,y,"sub-systems, servers, technologies, DBs",control_flow,uni,control_flow,n,y,n,high,n,y,,functional_suitability,beston123/Tarzan,"rectangles, icons","mysql, rocketmq",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5362,0.0133,89.3901,62.5499,0.7840,0.0005,https://github.com/beston123/tevent/,1123
boxes_and_arrows,NA,entire,"static, dynamic",serverdevcamp_camp4_quadcore,y,"APIs, DBs, technologies",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,serverdevcamp/camp4_quadcore,"circles, icons, rectangles","twitter, apache, cassandra",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.4434,0.0169,89.8895,58.1505,0.5822,-0.0027,https://github.com/serverdevcamp/camp4_quadcore/,1199
boxes_and_arrows,"rest, MVC",entire,static,heli-os_member-invitation-java-springboot,n,"packages, DBs, services",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,heli-os/member-invitation-java-springboot,"rectangles, squares","aws, redis",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,40.6902,0.0092,89.9368,63.5906,0.7429,0.0007,https://github.com/heli-os/member-invitation-java-springboot/,1038
boxes_and_arrows,"microservices, layered",entire,static,itays123_partydeck,y,"DBs, services, clients",general,uni,dependencies,n,y,n,high,n,y,,maintainability,itays123/partydeck,"rectangles, squares",mongodb,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.4147,0.0269,89.8271,58.9570,0.7099,0.0000,https://github.com/itays123/partydeck/,1069
boxes_and_arrows,"client-server, publish-subscribe",entire+,static,liyangbing_rocketmq-http-gateway,y,"servers, technologies, sub-systems",connectivity,uni,communication,parameters,y,n,medium,n,y,,maintainability,liyangbing/rocketmq-http-gateway,rectangles,"rocketmq, apache",,,,NA,NA,NA,NA,NA,NA,https://github.com/liyangbing/rocketmq-http-gateway/,980
boxes,"layered, SOA",entire,static,zeromicro_zero-doc,y,"services, DBs, APIs, features",general,uni,communication,n,y,n,medium,n,y,,maintainability,zeromicro/zero-doc,rectangles,"mysql, postgresql, mongodb, clickhouse, redis, kubernetes, etcd, consul, nacos, polarismesh",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.2275,0.0173,89.8249,63.5043,0.7430,0.0000,https://github.com/zeromicro/zero-doc/,1435
icons_and_arrows,NA,entire,static,chsakell_planet-scale-azure,y,"DBs, servers","deployment, connectivity",no,communication,n,y,n,high,n,n,,flexibility,chsakell/planet-scale-azure,icons,azure,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.1951,0.0490,87.9210,39.4272,0.2149,-0.0007,https://github.com/chsakell/planet-scale-azure/,981
boxes_and_arrows,pipes-and-filters,entire,dynamic,GoogleCloudPlatform_analytics-componentized-patterns,y,steps,control_flow,uni,control_flow,text,y,n,high,n,n,,functional_suitability,GoogleCloudPlatform/analytics-componentized-patterns,"rectangles, icons",google,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3705,0.0135,89.3928,62.2722,0.7279,-0.0003,https://github.com/GoogleCloudPlatform/analytics-componentized-patterns/,1575
boxes,layered,entire+,static,exmgr_GatewayXM,y,"layers, services, sub-systems, technologies",general,NA,NA,snapshots,n,n,medium,n,y,IOT,maintainability,exmgr/GatewayXM,rectangles,"java, eclipse",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,25.8184,0.0512,31.4678,42.9826,0.1128,-0.0019,https://github.com/exmgr/GatewayXM/,796
icons_and_arrows,microservices,entire,dynamic,oovk_dataengg-covid19-aws,y,"technologies, DBs, services",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,oovk/dataengg-covid19-aws,"rectangles, squares, icons",aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8538,0.0161,89.8121,58.9146,0.5578,0.0003,https://github.com/oovk/dataengg-covid19-aws/,787
UML,client-server,entire,static,ndsev_zswag,y,"packages, classes",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,ndsev/zswag,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,29.0149,0.0354,61.5321,50.6271,0.3460,0.0022,https://github.com/ndsev/zswag/,925
icons_and_arrows,smart-contracts,entire,static,shawntabrizi_Ethereum-Twitter-Bounty,y,"contracts, technologies, clients",general,"uni, bi",communication,n,y,n,medium,n,n,blockchain,maintainability,shawntabrizi/Ethereum-Twitter-Bounty,icons,"ethereum, oraclize, twitter, web3js",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.3526,0.0152,89.1805,59.3694,0.7002,-0.0004,https://github.com/shawntabrizi/Ethereum-Twitter-Bounty/,1018
"boxes, icons_and_arrows",client-server,part,static,badr42_oke_A1,y,"network_components, containers","deployment, connectivity, performance",uni,communication,n,y,n,medium,n,y,,"flexibility, performance_efficiency, reliability",badr42/oke_A1,"rectangles, icons","kubernetes, oracle",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6309,0.0117,89.6702,59.3915,0.5425,-0.0020,https://github.com/badr42/oke_A1/,906
boxes_and_arrows,client-server,entire,static,ev2900_OpenSearch_Dashboard_Nginx_Proxy,y,"servers, services","deployment, connectivity",bi,communication,URLs,y,n,high,n,y,,security,ev2900/OpenSearch_Dashboard_Nginx_Proxy,"rectangles, icons","nginx, aws, opensearch",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.7624,0.0115,89.5769,60.3051,0.7264,-0.0040,https://github.com/ev2900/OpenSearch_Dashboard_Nginx_Proxy/,578
boxes_and_arrows,SOA,entire+,static,AndreasM009_AadApiGatekeeper,y,"containers, APIs, services, technologies",deployment,"uni, no",communication,n,y,y,high,n,y,,"flexibility, security",AndreasM009/AadApiGatekeeper,"ellipses, icons, rectangles","azure, kubernetes",,,,NA,NA,NA,NA,NA,NA,https://github.com/AndreasM009/AadApiGatekeeper/,1248
boxes_and_arrows,"MVI, layered",entire,"static, dynamic",kaleidot725_Draft,y,"DBs, sub-systems",general,uni,"control_flow, data_flow",n,y,n,high,n,y,,maintainability,kaleidot725/Draft,"rectangles, icons",NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.3370,0.0121,88.7234,61.7718,0.4017,0.0001,https://github.com/kaleidot725/Draft/,862
icons_and_arrows,SOA,entire+,static,Azure_AzureStack-QuickStart-Templates,y,"network_components, DBs, APIs, functions","deployment, connectivity, performance, security",uni,"data_flow, API_calls, communication",n,y,n,high,n,y,,"flexibility, security, maintainability",Azure/AzureStack-QuickStart-Templates,"rectangles, icons",azure,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7077,0.0116,89.9337,59.3104,0.5907,0.0004,https://github.com/Azure/AzureStack-QuickStart-Templates/,1449
boxes_and_arrows,NA,entire,dynamic,Fintan-contents_case-studies,y,steps,control_flow,uni,control_flow,n,y,n,high,n,n,,"interaction_capability, functional_suitability",Fintan-contents/case-studies,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3085,0.0121,89.1115,59.2765,0.6859,-0.0006,https://github.com/Fintan-contents/case-studies/,753
"icons_and_arrows, boxes",microservices,entire,dynamic,spikecodes_stotra,y,"DBs, technologies",deployment,"uni, bi",communication,n,y,n,medium,n,y,,maintainability,spikecodes/stotra,"rectangles, squares, icons","react, aws, mongodb, cloudflare",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0185,0.0112,89.6999,63.1340,0.7959,0.0013,https://github.com/spikecodes/stotra/,1275
boxes_and_arrows,client-server,entire,static,blentle_hikarikeeper,y,"servers, DBs","deployment, connectivity",uni,communication,n,y,n,high,n,y,,flexibility,blentle/hikarikeeper,"rectangles, cylinders",rocksdb,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,28.7881,0.0364,68.4530,54.1456,0.4852,-0.0019,https://github.com/blentle/hikarikeeper/,1466
boxes_and_arrows,event-driven,entire,dynamic,tarhses_esp-alarm-clock,n,packages,control_flow,uni,control_flow,text,y,n,medium,n,n,,"functional_suitability, reliability",tarhses/esp-alarm-clock,"rectangles, circles",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9374,0.0160,87.4260,58.3656,0.5580,-0.0006,https://github.com/tarhses/esp-alarm-clock/,950
boxes_and_arrows,SOA,part,dynamic,balajich_resilience4j-helloworld,n,"services, clients, functions",control_flow,uni,communication,n,y,n,medium,n,y,,"functional_suitability, reliability",balajich/resilience4j-helloworld,"ellipses, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8651,0.0128,87.9626,60.5534,0.7243,0.0001,https://github.com/balajich/resilience4j-helloworld/,1113
boxes_and_arrows,"hexagonal, layered",entire,static,clemgbld_blog_back_office,y,ports,connectivity,uni,communication,n,y,y,medium,n,y,,maintainability,clemgbld/blog_back_office,"rectangles, hexagons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.7522,0.0103,89.8736,62.2815,0.7236,-0.0007,https://github.com/clemgbld/blog_back_office/,986
boxes_and_arrows,layered,entire,"static, dynamic",CMU-RERC-APT_tiramisu3-pr,y,"DBs, sub-systems, classes",control_flow,"uni, bi",communication,n,y,n,medium,y,n,,"functional_suitability, maintainability",CMU-RERC-APT/tiramisu3-pr,"rectangles, cylinders",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.4825,0.0532,18.8946,44.3211,0.1571,0.0004,https://github.com/CMU-RERC-APT/tiramisu3-pr/,1630
boxes_and_arrows,layered,entire,dynamic,dylanvanh_MunchOut,y,"classes, layers, APIs, DBs",data_flow,uni,communication,n,y,n,medium,n,y,,maintainability,dylanvanh/MunchOut,"rectangles, icons",mysql,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.3657,0.0170,88.9453,63.8485,0.7604,0.0012,https://github.com/dylanvanh/MunchOut/,949
boxes,clean,entire,static,alextanhongpin_node-rest,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,alextanhongpin/node-rest,circles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.7108,0.0231,89.8681,55.4103,0.6433,-0.0009,https://github.com/alextanhongpin/node-rest/,865
icons_and_arrows,client-server,part,dynamic,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,"circles, icons","watson, jupyter, tensorflow",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.2138,0.0549,7.6273,27.9728,0.0225,0.0000,https://github.com/IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras/,565
icons_and_arrows,NA,part,dynamic,microsoft_covid19-BackToWork,y,"technologies, layers",control_flow,uni,control_flow,text,y,n,high,n,y,,"functional_suitability, maintainability",microsoft/covid19-BackToWork,icons,"azure, microsoft, twilio, powerbi",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.9618,0.0179,89.2603,61.0734,0.6687,-0.0006,https://github.com/microsoft/covid19-BackToWork/,1004
boxes_and_arrows,rest,part,"static, dynamic",florianhoehn_sf-apex-rest-api,y,classes,general,no,inheritance,text,y,n,low,y,n,manual sketch,maintainability,florianhoehn/sf-apex-rest-api,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8896,0.0161,89.8449,61.3099,0.6969,0.0009,https://github.com/florianhoehn/sf-apex-rest-api/,1154
boxes_and_arrows,client-server,part,dynamic,boot2podman_machine,y,servers,connectivity,uni,communication,n,y,n,high,n,y,,maintainability,boot2podman/machine,"ellipses, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9080,0.0160,88.8840,53.2549,0.5181,0.0026,https://github.com/boot2podman/machine/,1120
boxes,layered,entire,static,Xsidelight_flutter_interview_questions,y,"layers, packages",general,NA,NA,n,n,n,medium,n,y,,maintainability,Xsidelight/flutter_interview_questions,rectangles,dart,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.7351,0.0326,73.4128,49.9880,0.3006,0.0124,https://github.com/Xsidelight/flutter_interview_questions/,695
boxes,layered,entire,static,aliyun_packagist-mirror,y,"layers, coroutines",general,NA,NA,n,n,n,medium,n,y,,maintainability,aliyun/packagist-mirror,"rectangles, icons","github, composer",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.8687,0.0509,22.6807,45.6119,0.1638,-0.0002,https://github.com/aliyun/packagist-mirror/,1112
boxes_and_arrows,event-driven,entire,dynamic,laziestcoder_Budget_App_JS,y,"functions, layers",control_flow,uni,control_flow,n,y,n,low,n,y,,"functional_suitability, maintainability",laziestcoder/Budget_App_JS,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.3262,0.0136,89.9396,60.8347,0.6728,0.0036,https://github.com/laziestcoder/Budget_App_JS/,657
"boxes, icons_and_arrows",NA,entire+,"static, dynamic",IBM_spectrum-protect-sppmon,y,"APIs, technologies, VMs","connectivity, control_flow",uni,"control_flow, function_calls",n,y,y,medium,n,y,,"interaction_capability, functional_suitability",IBM/spectrum-protect-sppmon,"rectangles, icons",ibm,,,,NA,NA,NA,NA,NA,NA,https://github.com/IBM/sppmon/,1548
boxes_and_arrows,rest,entire,dynamic,input-output-hk_marlowe-starter-kit,y,"packages, DBs","scheduling, control_flow",uni,function_calls,text,y,y,medium,n,y,,interaction_capability,input-output-hk/marlowe-starter-kit,rectangles,postgresql,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9500,0.0142,88.4589,58.3173,0.4727,0.0014,https://github.com/input-output-hk/marlowe-starter-kit/,1163
boxes_and_arrows,NA,entire+,"static, dynamic",eqbal_CarND_Capstone_CarX,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,eqbal/CarND_Capstone_CarX,rectangles,ros,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.4984,0.0150,88.8537,60.3471,0.6768,0.0023,https://github.com/eqbal/CarND_Capstone_CarX/,825
icons_and_arrows,client-server,part,dynamic,pacmacro_pm-server-spring,y,"servers, clients","deployment, control_flow",uni,data_flow,n,y,n,high,n,n,,flexibility,pacmacro/pm-server-spring,"icons, 3d",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2210,0.0155,87.6090,57.7545,0.6801,-0.0013,https://github.com/pacmacro/pm-server-spring/,1076
icons_and_arrows,"pipes-and-filters, SOA",entire+,dynamic,ruoccofabrizio_azure-open-ai-embeddings-qna,y,data,"data_flow, control_flow",uni,data_flow,text,y,n,medium,n,n,,functional_suitability,ruoccofabrizio/azure-open-ai-embeddings-qna,icons,azure,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0469,0.0158,87.8711,59.3349,0.6786,0.0020,https://github.com/ruoccofabrizio/azure-open-ai-embeddings-qna/,868
icons_and_arrows,publish-subscribe,entire+,dynamic,jinnerbichler_flash-home,n,"sub-systems, servers",connectivity,uni,communication,n,y,n,high,n,n,iot,interaction_capability,jinnerbichler/flash-home,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.7954,0.0576,5.0764,22.3708,0.0088,0.0002,https://github.com/jinnerbichler/flash-home/,963
